true_angle,semi_major_axis,semi_minor_axis,convex_hull_area,convex_hull_perimeter,max_distance,aspect_ratio,area_to_perimeter_ratio
1.4,0.954,0.721,1.936,5.184,1.923,1.284,0.374
1.4,0.923,0.853,2.271,5.564,1.905,0.908,0.408
1.4,0.981,0.9,2.539,5.798,1.947,1.099,0.438
1.4,0.962,0.917,2.395,5.732,1.936,0.844,0.418
1.4,0.975,0.911,2.436,5.735,1.965,0.96,0.425
1.4,1.05,0.885,2.423,5.781,1.974,1.035,0.419
1.4,0.964,0.938,2.565,5.839,1.922,1.017,0.439
1.4,0.967,0.915,2.529,5.8,1.938,0.905,0.436
1.4,0.956,0.841,2.26,5.499,1.907,0.997,0.411
1.4,0.945,0.813,2.133,5.424,1.912,0.85,0.393
1.4,0.971,0.901,2.517,5.82,1.994,1.001,0.433
1.4,0.926,0.843,2.213,5.454,1.895,1.019,0.406
1.4,0.932,0.889,2.35,5.589,1.882,1.059,0.42
1.4,0.963,0.89,2.509,5.753,1.969,1.086,0.436
1.4,1.014,0.881,2.497,5.778,1.962,0.916,0.432
1.4,0.867,0.822,2.02,5.252,1.787,1.12,0.385
1.4,0.991,0.826,2.303,5.577,1.945,1.086,0.413
1.4,0.939,0.848,2.187,5.442,1.87,1.002,0.402
1.4,0.958,0.762,2.112,5.351,1.874,1.124,0.395
1.4,0.948,0.867,2.356,5.625,1.939,0.976,0.419
1.4,0.93,0.873,2.167,5.448,1.867,1.017,0.398
1.4,0.957,0.875,2.439,5.69,1.929,0.943,0.429
1.4,0.913,0.902,2.289,5.588,1.877,0.974,0.41
1.4,1.035,0.904,2.481,5.823,2.005,0.949,0.426
1.4,1.015,0.849,2.335,5.64,1.968,1.089,0.414
1.4,0.945,0.872,2.368,5.617,1.857,0.993,0.422
1.4,0.987,0.89,2.276,5.676,1.963,1.072,0.401
1.4,0.937,0.84,2.205,5.482,1.862,0.934,0.402
