true_angle,convex_hull_area,convex_hull_perimeter,circularity,photon_density,mean_pairwise_distance,max_pairwise_distance,min_pairwise_distance,pairwise_entropy
0.2,1201.898,128.588,0.913,0.052,17.476,43.943,0.0,2.778
0.2,1052.681,120.744,0.907,0.035,16.053,43.248,0.0,2.741
0.2,977.724,117.576,0.889,0.046,15.676,42.243,0.0,2.73
0.2,1009.363,119.657,0.886,0.057,16.383,42.357,0.0,2.753
0.2,1248.023,129.92,0.929,0.052,16.974,44.981,0.0,2.74
0.2,1083.771,121.872,0.917,0.048,16.808,42.652,0.0,2.815
0.2,1282.352,130.977,0.939,0.048,17.238,43.584,0.0,2.792
0.2,985.505,117.167,0.902,0.045,15.616,41.454,0.0,2.755
0.2,1154.69,128.154,0.884,0.054,16.426,44.494,0.0,2.713
0.2,1024.323,119.419,0.903,0.058,14.739,43.624,0.0,2.707
0.2,1227.132,129.523,0.919,0.049,15.319,43.703,0.0,2.719
0.2,1195.291,127.415,0.925,0.053,16.05,44.378,0.0,2.712
0.2,1094.098,122.66,0.914,0.057,16.132,41.042,0.0,2.796
0.2,1052.209,121.955,0.889,0.046,15.191,40.869,0.0,2.769
0.2,1085.411,121.643,0.922,0.048,17.112,42.154,0.0,2.808
0.2,886.804,114.527,0.85,0.053,15.328,41.138,0.0,2.777
0.2,1059.421,120.583,0.916,0.05,16.811,41.851,0.0,2.786
0.2,1079.358,122.58,0.903,0.052,16.119,42.978,0.0,2.764
0.2,943.91,117.868,0.854,0.054,14.402,42.381,0.0,2.678
0.2,1171.872,125.942,0.928,0.053,16.521,43.788,0.0,2.748
0.2,1029.402,121.221,0.88,0.064,15.324,41.91,0.0,2.741
0.2,1014.249,118.897,0.902,0.054,14.49,41.44,0.0,2.709
0.2,1079.744,121.294,0.922,0.052,17.646,41.179,0.0,2.858
0.2,987.125,121.113,0.846,0.053,15.16,42.042,0.0,2.722
0.2,971.473,121.306,0.83,0.049,14.773,42.788,0.0,2.698
0.2,1230.486,128.663,0.934,0.046,16.379,43.776,0.0,2.767
0.2,1189.701,126.109,0.94,0.042,17.039,42.244,0.0,2.796
0.2,1258.386,130.059,0.935,0.048,18.463,43.976,0.0,2.814
0.2,1141.045,126.034,0.903,0.057,16.73,41.964,0.0,2.775
0.2,1059.091,120.659,0.914,0.042,15.786,42.25,0.0,2.76
0.2,936.215,118.735,0.835,0.054,15.073,43.65,0.0,2.67
0.2,897.133,114.41,0.861,0.052,13.612,39.302,0.0,2.734
0.2,1249.301,128.324,0.953,0.062,15.932,43.368,0.0,2.746
0.2,1172.633,124.666,0.948,0.059,17.414,43.007,0.0,2.802
0.2,1141.909,126.95,0.89,0.051,16.193,42.918,0.0,2.77
0.2,1146.697,125.73,0.912,0.051,16.732,44.328,0.0,2.745
0.2,1146.56,125.444,0.916,0.049,16.962,44.468,0.0,2.736
0.2,1026.216,119.899,0.897,0.061,16.854,40.251,0.0,2.81
0.2,1157.685,125.522,0.923,0.055,16.074,43.92,0.0,2.735
0.2,1223.514,127.635,0.944,0.059,16.269,43.606,0.0,2.745
0.2,1112.051,124.464,0.902,0.043,17.555,44.047,0.0,2.793
0.2,988.195,117.596,0.898,0.065,14.516,41.026,0.0,2.718
0.2,1189.86,126.977,0.927,0.047,17.492,44.33,0.0,2.794
0.2,1044.47,118.832,0.929,0.046,15.863,40.627,0.0,2.789
0.2,1193.476,127.821,0.918,0.054,16.732,43.267,0.0,2.793
0.2,1160.787,125.933,0.92,0.044,16.794,42.628,0.0,2.804
0.2,1131.072,123.762,0.928,0.05,16.551,43.158,0.0,2.766
0.2,1193.913,127.972,0.916,0.049,17.951,43.688,0.0,2.806
0.2,985.739,116.592,0.911,0.058,15.685,41.146,0.0,2.763
0.2,1038.133,119.757,0.91,0.057,15.855,41.357,0.0,2.774
0.2,2659.778,214.281,0.728,0.028,31.042,90.101,0.0,2.751
0.2,1216.432,128.093,0.932,0.048,18.162,43.109,0.0,2.812
0.2,1038.946,119.107,0.92,0.052,14.971,41.424,0.0,2.718
0.2,1152.452,124.314,0.937,0.049,17.227,41.618,0.0,2.819
0.2,1045.728,119.281,0.924,0.053,16.904,40.603,0.0,2.804
0.2,1178.73,126.614,0.924,0.051,17.54,42.457,0.0,2.798
0.2,1007.456,119.636,0.885,0.052,16.048,42.737,0.0,2.73
0.2,1051.594,123.184,0.871,0.052,14.477,43.297,0.0,2.675
0.2,1022.435,121.442,0.871,0.056,15.567,43.353,0.0,2.695
0.2,1077.959,120.165,0.938,0.045,16.592,41.304,0.0,2.793
0.2,1135.38,126.215,0.896,0.046,17.571,44.894,0.0,2.776
0.2,1300.387,131.139,0.95,0.051,16.919,43.428,0.0,2.791
0.2,992.003,116.308,0.922,0.047,15.892,41.972,0.0,2.759
0.2,1240.148,128.521,0.943,0.054,18.671,43.324,0.0,2.848
0.2,1072.44,120.594,0.927,0.052,16.08,41.718,0.0,2.776
0.2,1099.481,123.342,0.908,0.047,16.841,42.962,0.0,2.776
0.2,1233.019,129.923,0.918,0.045,17.856,44.713,0.0,2.786
0.2,1022.301,120.047,0.891,0.049,16.128,41.215,0.0,2.771
0.2,1116.564,126.941,0.871,0.043,17.519,44.795,0.0,2.784
0.2,1118.652,122.956,0.93,0.046,15.957,41.397,0.0,2.788
0.2,949.05,116.39,0.88,0.061,14.984,41.523,0.0,2.728
0.2,1249.975,131.136,0.913,0.044,17.594,44.166,0.0,2.8
0.2,1286.066,132.256,0.924,0.033,17.649,44.514,0.0,2.805
0.2,1197.437,127.821,0.921,0.046,17.148,43.348,0.0,2.788
0.2,1108.644,122.947,0.922,0.059,16.356,43.371,0.0,2.74
0.2,1062.733,121.114,0.91,0.056,15.42,41.521,0.0,2.77
0.2,1201.581,126.517,0.943,0.047,17.507,42.052,0.0,2.816
0.2,1034.447,120.131,0.901,0.055,15.821,41.109,0.0,2.764
0.2,1148.759,126.837,0.897,0.042,16.183,43.544,0.0,2.759
0.2,1257.908,130.834,0.923,0.043,16.636,44.277,0.0,2.732
0.2,1154.154,127.684,0.89,0.039,19.695,43.183,0.0,2.875
0.2,1300.104,131.634,0.943,0.043,18.89,45.028,0.0,2.807
0.2,1156.325,124.746,0.934,0.052,15.736,44.76,0.0,2.718
0.2,1282.162,131.702,0.929,0.048,16.958,43.664,0.0,2.77
0.2,1175.426,127.117,0.914,0.047,17.315,43.076,0.0,2.789
0.2,1062.781,121.583,0.903,0.049,15.012,43.239,0.0,2.691
0.2,1346.073,133.52,0.949,0.053,16.88,44.586,0.0,2.75
