true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,max_distance,aspect_ratio,area_to_perimeter_ratio,ellipticity
0.0,1.65,1.429,0.5,6.329,9.324,3.189,0.943,0.679,1.093
0.0,1.61,1.5,0.364,7.119,9.68,3.262,0.937,0.735,1.048
0.0,1.671,1.397,0.548,6.793,9.592,3.387,0.864,0.708,1.078
0.0,1.618,1.573,0.235,6.734,9.661,3.353,0.93,0.697,1.103
0.0,1.588,1.462,0.391,6.695,9.51,3.267,1.092,0.704,1.075
0.0,1.682,1.52,0.428,7.061,9.784,3.303,0.959,0.722,1.079
0.0,1.578,1.462,0.377,6.498,9.342,3.226,0.998,0.696,1.069
0.0,1.582,1.442,0.411,6.781,9.417,3.218,1.103,0.72,1.041
0.0,1.649,1.448,0.478,6.405,9.44,3.33,0.903,0.678,1.107
0.0,1.651,1.47,0.455,6.779,9.623,3.265,0.916,0.705,1.087
0.0,1.642,1.438,0.483,6.336,9.319,3.218,1.019,0.68,1.091
0.0,1.675,1.638,0.209,7.709,10.129,3.336,0.983,0.761,1.059
0.0,1.615,1.563,0.253,7.063,9.724,3.252,0.99,0.726,1.065
0.0,1.662,1.494,0.438,7.041,9.712,3.334,0.925,0.725,1.066
0.0,1.647,1.598,0.24,7.453,9.981,3.401,0.958,0.747,1.064
0.0,1.581,1.546,0.211,7.186,9.688,3.164,0.974,0.742,1.039
0.0,1.664,1.528,0.396,7.061,9.77,3.349,0.949,0.723,1.076
0.0,1.679,1.477,0.475,7.107,9.729,3.389,0.904,0.731,1.06
0.0,1.707,1.415,0.559,6.497,9.457,3.237,0.905,0.687,1.095
0.0,1.562,1.44,0.387,6.605,9.295,3.14,1.082,0.711,1.041
0.0,1.65,1.409,0.521,6.852,9.508,3.346,0.868,0.721,1.05
0.0,1.566,1.448,0.381,6.134,9.184,3.208,0.96,0.668,1.094
0.0,1.685,1.458,0.501,6.972,9.679,3.338,0.902,0.72,1.069
0.0,1.607,1.524,0.317,6.909,9.61,3.212,0.97,0.719,1.064
0.0,1.612,1.481,0.394,6.619,9.478,3.246,1.11,0.698,1.08
0.0,1.649,1.589,0.267,7.133,9.84,3.269,0.909,0.725,1.08
0.0,1.72,1.557,0.425,6.966,9.834,3.34,0.988,0.708,1.105
0.0,1.631,1.334,0.575,6.413,9.227,3.203,0.828,0.695,1.056
0.0,1.623,1.554,0.29,6.896,9.668,3.294,1.006,0.713,1.079
0.0,1.629,1.321,0.585,5.834,9.025,3.326,0.821,0.646,1.111
0.0,1.583,1.513,0.294,6.666,9.537,3.209,0.998,0.699,1.086
0.0,1.664,1.445,0.496,6.807,9.55,3.241,1.065,0.713,1.066
0.0,1.625,1.535,0.328,7.383,9.843,3.321,1.05,0.75,1.044
0.0,1.673,1.369,0.575,6.418,9.369,3.293,0.907,0.685,1.088
0.0,1.599,1.517,0.317,6.863,9.607,3.259,0.964,0.714,1.07
0.0,1.661,1.46,0.476,7.193,9.745,3.34,0.883,0.738,1.051
0.0,1.594,1.544,0.249,6.856,9.603,3.252,1.02,0.714,1.07
0.0,1.687,1.585,0.342,7.271,9.933,3.312,0.935,0.732,1.08
0.0,1.634,1.464,0.445,6.703,9.496,3.294,0.986,0.706,1.071
0.0,1.652,1.508,0.407,7.182,9.782,3.352,0.905,0.734,1.06
0.0,1.578,1.476,0.355,6.291,9.265,3.148,1.011,0.679,1.086
0.0,1.575,1.357,0.508,5.885,8.958,3.122,1.015,0.657,1.085
0.0,1.581,1.484,0.345,6.773,9.469,3.2,1.025,0.715,1.053
