true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,std_x,std_y
9.8,1.522,1.343,0.47,5.866,8.909,0.879,0.92
10.0,1.525,1.461,0.286,6.482,9.264,0.911,0.945
10.4,1.567,1.481,0.325,7.061,9.521,0.943,0.973
10.2,4.107,1.867,0.891,15.463,15.909,1.057,1.045
10.5,1.622,1.413,0.491,6.455,9.337,0.976,0.873
9.6,1.528,1.39,0.415,6.196,9.038,0.942,0.839
10.9,1.583,1.366,0.506,6.289,9.166,0.959,0.846
10.7,1.578,1.457,0.384,6.54,9.341,1.096,0.816
11.0,1.553,1.515,0.22,6.648,9.421,0.936,0.993
10.8,1.64,1.335,0.581,6.222,9.151,0.92,0.926
11.1,1.543,1.474,0.296,6.607,9.294,0.903,0.925
10.6,1.634,1.453,0.458,6.442,9.32,0.93,0.875
11.3,1.582,1.449,0.401,6.523,9.34,0.949,0.964
11.4,1.549,1.456,0.341,6.294,9.194,0.997,0.788
9.1,1.543,1.278,0.56,5.777,8.752,0.937,0.859
11.6,1.584,1.482,0.354,6.658,9.415,0.975,0.959
11.2,1.571,1.489,0.32,6.579,9.386,0.981,0.895
11.5,1.631,1.32,0.587,6.175,9.228,1.076,0.763
11.8,1.621,1.383,0.521,6.263,9.241,0.903,0.898
9.5,1.481,1.439,0.239,5.965,9.003,0.941,0.903
12.1,1.578,1.489,0.331,6.902,9.525,1.007,0.876
12.0,1.487,1.436,0.259,6.247,9.071,0.938,0.887
12.4,1.591,1.395,0.481,6.499,9.293,1.073,0.785
12.2,1.581,1.476,0.359,6.843,9.511,0.986,0.932
11.9,1.574,1.357,0.507,6.183,9.109,0.863,0.967
12.3,1.546,1.459,0.33,6.425,9.346,0.91,0.904
13.1,1.639,1.507,0.394,6.975,9.668,1.031,0.873
12.5,1.594,1.542,0.254,7.011,9.634,0.954,0.954
13.2,1.612,1.533,0.309,7.217,9.766,1.007,0.964
11.7,1.523,1.466,0.272,6.41,9.311,0.915,0.945
13.3,1.663,1.482,0.453,7.234,9.772,1.037,0.885
12.9,1.548,1.488,0.276,6.743,9.431,0.978,0.928
13.4,1.641,1.49,0.419,7.061,9.664,0.956,0.964
13.0,1.627,1.392,0.518,6.693,9.42,1.036,0.893
12.6,1.596,1.456,0.409,6.596,9.398,1.002,0.959
12.8,1.475,1.375,0.361,5.579,8.729,0.958,0.906
13.6,1.663,1.415,0.526,6.82,9.579,0.959,0.938
13.5,1.571,1.48,0.335,6.835,9.513,0.985,0.896
13.8,1.693,1.429,0.536,6.858,9.632,0.998,0.951
13.9,1.643,1.509,0.395,7.277,9.76,0.965,0.963
12.7,1.538,1.494,0.24,6.443,9.317,0.933,0.933
14.1,1.684,1.477,0.48,7.439,9.89,1.055,0.9
13.7,1.71,1.4,0.574,6.79,9.629,0.998,0.828
14.0,1.583,1.541,0.23,7.28,9.756,1.047,0.929
14.2,2.937,1.648,0.828,13.765,14.565,1.402,0.986
14.3,1.721,1.512,0.477,7.554,9.978,1.081,0.939
14.7,1.676,1.329,0.61,6.313,9.276,1.074,0.815
14.6,1.68,1.491,0.461,7.291,9.83,0.943,1.057
14.5,1.757,1.454,0.561,7.075,9.778,0.902,1.051
15.1,1.639,1.588,0.247,7.815,10.056,1.031,0.991
15.0,1.701,1.503,0.468,7.38,9.907,0.95,1.073
15.3,1.59,1.509,0.315,6.8,9.525,1.056,0.973
15.4,1.705,1.593,0.356,7.73,10.137,1.061,0.991
15.2,1.753,1.474,0.541,7.035,9.806,1.045,0.942
15.5,1.707,1.46,0.518,7.135,9.81,1.05,0.933
15.7,1.68,1.46,0.495,7.003,9.723,1.127,0.879
14.9,1.709,1.532,0.443,7.672,10.036,1.012,0.983
15.6,1.734,1.535,0.465,7.859,10.147,1.049,0.947
16.1,1.716,1.529,0.453,7.327,9.954,1.085,0.941
15.9,1.659,1.558,0.344,6.964,9.764,0.984,0.959
16.0,1.744,1.48,0.53,7.567,10.031,1.233,0.837
16.3,1.649,1.591,0.261,7.715,10.044,0.944,1.057
14.8,1.714,1.43,0.552,7.027,9.697,1.043,0.929
16.4,1.679,1.55,0.384,7.562,10.037,1.015,1.022
16.5,1.714,1.512,0.471,7.446,9.977,1.156,0.871
16.2,1.702,1.56,0.399,7.597,10.096,1.058,0.947
15.8,1.664,1.514,0.415,6.99,9.737,1.041,0.932
16.6,1.633,1.509,0.383,7.257,9.774,1.018,0.959
16.9,1.751,1.534,0.483,7.734,10.179,1.016,1.059
16.7,1.805,1.505,0.552,7.934,10.263,1.112,0.913
14.4,1.723,1.503,0.488,7.283,9.885,1.008,0.986
17.2,1.846,1.517,0.569,7.627,10.276,1.211,0.939
17.3,1.745,1.517,0.494,7.643,10.116,1.116,0.973
17.0,1.801,1.499,0.554,7.668,10.18,1.017,1.082
16.8,1.63,1.534,0.338,7.365,9.84,1.037,0.932
17.5,1.771,1.582,0.45,8.391,10.471,1.192,0.957
17.6,1.776,1.575,0.462,8.21,10.413,1.05,0.98
17.1,1.764,1.508,0.519,7.545,10.077,1.007,1.019
17.7,1.74,1.559,0.444,7.771,10.163,1.039,0.993
18.0,1.832,1.61,0.477,8.499,10.594,1.045,1.059
18.3,1.905,1.587,0.553,8.664,10.809,1.233,0.935
17.4,1.84,1.542,0.546,8.413,10.518,1.064,1.037
17.9,1.726,1.503,0.491,7.127,9.85,1.197,0.876
18.5,1.851,1.564,0.535,8.472,10.6,1.06,1.044
18.8,1.884,1.622,0.509,8.547,10.711,1.102,1.08
18.1,1.873,1.473,0.618,8.016,10.38,1.169,0.938
18.6,1.998,1.563,0.623,8.539,10.721,1.135,1.032
18.9,1.872,1.516,0.587,8.418,10.585,1.316,0.923
18.2,1.931,1.541,0.603,8.467,10.677,1.146,0.97
18.7,1.883,1.586,0.539,8.664,10.821,1.196,1.022
17.8,1.657,1.599,0.262,7.394,9.992,0.949,1.094
19.0,1.897,1.575,0.558,8.755,10.842,1.192,1.048
19.1,1.956,1.502,0.64,8.676,10.812,1.264,0.914
