true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,max_distance,aspect_ratio,area_to_perimeter_ratio,ellipticity
0.0,1.446,1.009,0.716,3.703,7.316,2.617,0.964,0.506,1.15
0.0,1.373,1.113,0.586,4.353,7.623,2.618,0.918,0.571,1.062
0.0,1.224,1.201,0.195,4.063,7.414,2.474,0.915,0.548,1.076
0.0,1.338,1.186,0.463,4.344,7.74,2.63,0.9,0.561,1.097
0.0,1.35,1.238,0.397,4.779,7.993,2.672,0.983,0.598,1.064
0.0,1.368,1.143,0.55,4.394,7.726,2.664,0.952,0.569,1.081
0.0,1.322,1.262,0.3,4.756,7.972,2.653,0.894,0.597,1.063
0.0,1.333,1.293,0.242,4.522,7.899,2.636,1.139,0.573,1.098
0.0,1.325,1.244,0.345,4.694,7.902,2.644,0.961,0.594,1.059
0.0,1.32,1.191,0.431,4.451,7.731,2.609,1.056,0.576,1.069
0.0,1.312,1.244,0.318,4.599,7.832,2.611,1.001,0.587,1.061
0.0,1.278,1.212,0.318,4.41,7.725,2.639,1.098,0.571,1.077
0.0,1.311,1.189,0.422,4.512,7.727,2.615,1.028,0.584,1.053
0.0,1.297,1.25,0.265,4.302,7.715,2.62,0.984,0.558,1.101
0.0,1.478,1.133,0.642,4.051,7.62,2.603,0.915,0.532,1.14
0.0,1.295,1.242,0.282,4.285,7.689,2.588,0.987,0.557,1.098
0.0,1.335,1.176,0.473,4.36,7.657,2.617,1.076,0.569,1.07
0.0,1.289,1.19,0.385,4.372,7.734,2.644,1.058,0.565,1.089
0.0,1.284,1.247,0.238,4.599,7.853,2.64,0.956,0.586,1.067
0.0,1.308,1.28,0.205,4.691,7.927,2.605,1.003,0.592,1.066
0.0,1.332,1.204,0.428,4.486,7.819,2.652,0.94,0.574,1.085
0.0,1.35,1.135,0.542,4.126,7.595,2.688,0.976,0.543,1.113
0.0,1.263,1.178,0.361,4.124,7.476,2.527,1.057,0.552,1.078
0.0,1.397,1.133,0.585,4.405,7.762,2.633,0.984,0.567,1.088
0.0,1.338,1.239,0.377,4.555,7.833,2.669,1.069,0.581,1.072
0.0,1.303,1.112,0.521,3.863,7.348,2.528,0.971,0.526,1.112
0.0,1.324,1.163,0.478,4.187,7.561,2.545,1.064,0.554,1.087
0.0,1.241,1.131,0.411,3.819,7.263,2.45,1.067,0.526,1.099
0.0,1.371,1.127,0.569,4.267,7.672,2.662,1.136,0.556,1.098
0.0,1.495,0.938,0.779,3.652,7.218,2.681,1.276,0.506,1.135
0.6,1.301,1.165,0.446,4.0,7.473,2.605,1.014,0.535,1.111
0.6,1.264,1.145,0.425,3.795,7.29,2.472,0.937,0.521,1.114
0.6,1.254,1.215,0.249,4.42,7.633,2.566,0.96,0.579,1.049
0.6,1.338,1.111,0.557,4.032,7.49,2.572,0.932,0.538,1.107
0.6,1.298,1.134,0.487,4.326,7.566,2.587,0.891,0.572,1.053
0.6,1.345,1.155,0.512,4.291,7.619,2.618,0.838,0.563,1.077
0.6,1.204,1.037,0.507,3.594,6.934,2.421,1.118,0.518,1.065
0.6,1.326,1.151,0.496,4.287,7.604,2.685,0.961,0.564,1.073
0.6,1.273,1.176,0.384,4.278,7.57,2.561,0.918,0.565,1.066
0.6,1.284,1.193,0.369,4.17,7.539,2.577,0.954,0.553,1.085
0.6,1.336,1.21,0.424,4.358,7.727,2.641,1.04,0.564,1.09
0.6,1.302,1.222,0.343,4.612,7.824,2.619,1.056,0.589,1.056
0.6,1.447,0.985,0.732,3.496,7.165,2.537,0.808,0.488,1.169
0.6,1.316,1.173,0.453,4.165,7.536,2.525,1.0,0.553,1.085
0.6,1.342,1.155,0.509,4.188,7.553,2.555,0.992,0.554,1.084
0.6,1.292,1.279,0.143,4.297,7.708,2.611,0.972,0.557,1.1
0.6,1.349,1.051,0.627,3.796,7.256,2.502,1.007,0.523,1.104
0.6,1.265,1.133,0.445,4.094,7.425,2.559,1.091,0.551,1.071
0.6,1.342,1.125,0.546,3.77,7.31,2.534,1.145,0.516,1.128
0.6,1.364,1.135,0.554,3.854,7.423,2.612,1.073,0.519,1.138
0.6,1.252,1.237,0.15,4.476,7.709,2.537,0.983,0.581,1.057
0.6,1.267,1.237,0.214,4.37,7.678,2.615,0.956,0.569,1.074
0.6,1.332,1.195,0.442,4.624,7.806,2.611,0.946,0.592,1.048
0.6,1.258,1.21,0.272,4.119,7.475,2.506,1.016,0.551,1.08
0.6,1.362,1.249,0.399,4.816,8.015,2.671,1.027,0.601,1.061
0.6,1.3,1.212,0.362,4.393,7.763,2.639,1.021,0.566,1.092
0.6,1.27,1.109,0.487,3.932,7.389,2.615,1.186,0.532,1.105
0.6,1.312,1.147,0.485,4.121,7.527,2.541,1.018,0.547,1.094
0.6,1.287,1.165,0.425,4.027,7.421,2.554,0.952,0.543,1.088
0.6,1.292,1.254,0.24,4.407,7.72,2.571,0.97,0.571,1.076
0.2,1.263,1.139,0.431,3.921,7.324,2.454,0.919,0.535,1.089
0.2,1.28,1.161,0.421,4.096,7.526,2.586,0.913,0.544,1.1
0.2,1.225,1.096,0.447,3.663,7.106,2.438,1.029,0.515,1.097
0.2,1.275,1.253,0.184,4.623,7.845,2.611,1.029,0.589,1.059
0.2,1.272,1.181,0.372,4.079,7.483,2.546,0.997,0.545,1.092
0.2,1.309,1.228,0.346,4.275,7.647,2.558,0.961,0.559,1.088
0.2,1.309,1.211,0.38,4.385,7.701,2.576,0.983,0.569,1.076
0.2,1.346,1.168,0.497,4.581,7.813,2.697,0.889,0.586,1.06
0.2,1.338,1.292,0.261,4.718,8.013,2.669,0.978,0.589,1.083
0.2,1.346,1.226,0.414,3.909,7.574,2.581,1.24,0.516,1.168
0.2,1.293,1.21,0.353,4.385,7.695,2.623,0.938,0.57,1.074
0.2,1.341,1.119,0.55,3.675,7.257,2.591,0.869,0.506,1.14
0.2,1.236,1.204,0.229,4.062,7.506,2.572,0.951,0.541,1.104
0.2,1.276,1.112,0.491,3.71,7.175,2.43,1.084,0.517,1.104
0.2,1.174,1.165,0.122,3.83,7.164,2.407,1.025,0.535,1.066
0.2,1.28,1.192,0.365,4.355,7.619,2.585,1.052,0.572,1.061
0.2,1.287,1.217,0.325,4.341,7.688,2.541,0.995,0.565,1.083
0.2,1.304,1.163,0.453,4.258,7.625,2.562,0.997,0.558,1.087
0.2,1.243,1.083,0.49,3.747,7.149,2.498,1.078,0.524,1.085
0.2,1.24,1.145,0.384,4.039,7.413,2.556,1.022,0.545,1.083
0.2,1.262,1.156,0.4,3.92,7.375,2.524,1.014,0.532,1.104
0.2,1.286,1.159,0.434,3.983,7.439,2.528,1.119,0.535,1.106
0.2,1.26,1.183,0.343,4.346,7.623,2.607,1.051,0.57,1.064
0.2,1.39,1.143,0.568,4.221,7.657,2.62,0.824,0.551,1.105
0.2,1.349,1.145,0.529,4.463,7.706,2.625,1.154,0.579,1.059
0.2,1.252,1.156,0.384,3.792,7.264,2.407,1.064,0.522,1.107
0.2,1.348,1.261,0.353,4.638,7.921,2.618,0.961,0.586,1.077
0.2,1.297,1.158,0.449,4.287,7.647,2.609,0.892,0.561,1.086
0.2,1.396,1.19,0.523,4.321,7.754,2.664,1.07,0.557,1.107
0.2,1.337,1.188,0.459,4.358,7.708,2.64,0.922,0.565,1.085
0.4,1.373,1.11,0.588,3.776,7.45,2.607,1.161,0.507,1.17
0.4,1.272,1.113,0.484,3.763,7.231,2.548,1.078,0.52,1.106
0.4,1.22,1.026,0.54,3.443,6.891,2.391,0.881,0.5,1.097
0.4,1.284,1.203,0.349,4.422,7.704,2.519,0.93,0.574,1.068
0.4,1.305,1.198,0.398,4.299,7.657,2.612,1.037,0.562,1.085
0.4,1.332,1.219,0.402,4.458,7.793,2.643,1.092,0.572,1.084
0.4,1.296,1.16,0.445,4.069,7.46,2.529,1.187,0.545,1.088
0.4,1.281,1.234,0.27,4.536,7.762,2.56,0.975,0.584,1.057
0.4,1.329,1.306,0.185,4.44,7.918,2.655,0.987,0.561,1.124
0.4,1.348,1.123,0.553,3.695,7.337,2.536,1.009,0.504,1.159
0.4,1.294,1.198,0.378,4.437,7.682,2.576,1.047,0.578,1.058
0.4,1.254,1.154,0.391,4.216,7.479,2.505,1.019,0.564,1.056
0.4,1.293,1.214,0.344,3.965,7.449,2.548,1.064,0.532,1.114
0.4,1.312,1.146,0.486,4.175,7.507,2.553,0.968,0.556,1.074
0.4,1.317,1.247,0.322,4.661,7.878,2.651,0.992,0.592,1.06
0.4,1.403,1.068,0.649,3.99,7.503,2.616,1.096,0.532,1.123
0.4,1.331,1.312,0.169,4.878,8.091,2.682,1.037,0.603,1.068
0.4,1.381,1.054,0.646,3.818,7.467,2.605,1.041,0.511,1.162
0.4,1.28,1.235,0.26,4.523,7.752,2.592,0.993,0.583,1.057
0.4,1.33,1.237,0.368,4.636,7.857,2.619,1.055,0.59,1.06
0.4,1.255,1.198,0.298,4.124,7.463,2.53,1.02,0.553,1.075
0.4,1.322,1.25,0.326,4.6,7.856,2.629,0.898,0.585,1.068
0.4,1.306,1.166,0.45,3.947,7.441,2.548,1.067,0.53,1.116
0.4,1.28,1.089,0.525,4.013,7.386,2.526,1.1,0.543,1.082
0.4,1.434,1.14,0.607,4.472,7.814,2.701,1.088,0.572,1.086
0.4,1.305,1.2,0.393,4.552,7.77,2.661,1.13,0.586,1.055
0.4,1.269,1.204,0.316,4.366,7.652,2.579,0.916,0.571,1.067
0.4,1.434,1.07,0.666,4.156,7.586,2.655,1.218,0.548,1.102
0.4,1.314,1.17,0.455,4.183,7.55,2.59,1.105,0.554,1.085
0.4,1.282,1.212,0.327,4.35,7.668,2.605,0.856,0.567,1.076
0.8,1.218,1.158,0.31,4.064,7.393,2.524,0.963,0.55,1.07
0.8,1.345,1.153,0.515,4.186,7.582,2.626,0.94,0.552,1.093
0.8,1.278,1.095,0.516,3.621,7.061,2.408,0.931,0.513,1.096
0.8,1.343,1.156,0.509,4.491,7.748,2.64,0.993,0.58,1.064
0.8,1.343,1.145,0.524,4.348,7.663,2.696,0.922,0.567,1.075
0.8,1.327,1.024,0.636,3.645,7.106,2.501,1.062,0.513,1.102
0.8,1.312,1.199,0.406,4.546,7.77,2.657,1.023,0.585,1.057
0.8,1.301,1.177,0.426,4.41,7.65,2.58,0.9,0.577,1.056
0.8,1.272,1.193,0.347,3.853,7.335,2.506,1.042,0.525,1.111
0.8,1.263,1.175,0.367,4.263,7.504,2.521,1.096,0.568,1.051
0.8,1.278,1.095,0.515,4.085,7.387,2.573,1.072,0.553,1.063
0.8,1.272,1.177,0.38,4.252,7.544,2.562,0.933,0.564,1.065
0.8,1.251,1.087,0.496,3.979,7.27,2.47,1.124,0.547,1.057
0.8,1.272,1.163,0.405,3.969,7.524,2.59,0.975,0.528,1.135
0.8,1.32,1.248,0.326,4.378,7.742,2.59,1.104,0.565,1.09
0.8,1.284,1.223,0.306,4.36,7.69,2.543,1.099,0.567,1.079
0.8,1.252,1.196,0.296,4.341,7.594,2.508,1.097,0.572,1.057
0.8,1.271,1.164,0.401,4.196,7.52,2.545,1.018,0.558,1.072
0.8,1.277,1.202,0.337,4.309,7.622,2.602,0.951,0.565,1.073
0.8,1.278,1.256,0.187,4.643,7.828,2.618,1.052,0.593,1.05
0.8,1.293,1.187,0.396,4.128,7.568,2.587,0.926,0.545,1.104
0.8,1.292,1.242,0.275,4.326,7.718,2.618,1.057,0.56,1.096
0.8,1.289,1.284,0.081,4.293,7.721,2.616,1.05,0.556,1.105
0.8,1.351,1.07,0.61,4.078,7.444,2.631,1.258,0.548,1.081
