true_angle,convex_hull_area,convex_hull_perimeter,mean_distance,std_distance,max_distance,point_density,aspect_ratio,circularity
0.0,1088.153,122.427,12.423,5.918,22.681,0.044,0.858,0.912
0.0,1073.523,123.182,11.033,5.944,21.885,0.053,0.914,0.889
0.0,1016.375,118.952,11.814,5.669,22.854,0.053,1.097,0.903
0.0,1236.969,128.691,10.925,6.807,22.788,0.054,0.946,0.939
0.0,1031.813,121.427,10.834,6.019,23.311,0.059,1.339,0.879
0.0,1225.019,128.612,11.837,6.039,22.751,0.054,0.917,0.931
0.0,1271.094,130.366,12.069,7.467,23.045,0.05,0.965,0.94
0.0,1071.157,121.028,11.671,5.695,22.083,0.057,1.049,0.919
0.0,1069.223,123.137,11.035,6.224,22.555,0.059,1.006,0.886
0.0,962.961,116.098,12.038,5.709,20.611,0.048,0.863,0.898
0.0,1207.45,127.396,11.747,6.344,21.983,0.051,0.833,0.935
0.0,1071.015,120.969,10.817,6.032,24.01,0.05,0.825,0.92
0.0,941.74,117.169,11.287,5.785,22.562,0.056,0.955,0.862
0.0,1094.779,122.139,10.503,6.238,22.88,0.052,0.917,0.922
0.0,1146.338,123.448,13.632,5.447,21.641,0.042,0.874,0.945
0.2,1201.898,128.588,12.277,6.548,23.19,0.052,1.045,0.913
0.2,1052.681,120.744,11.203,6.407,22.299,0.035,0.786,0.907
0.2,977.724,117.576,11.447,5.084,22.546,0.046,0.831,0.889
0.2,1009.363,119.657,11.566,5.995,22.027,0.057,0.906,0.886
0.2,1248.023,129.92,11.974,6.305,23.462,0.052,0.919,0.929
0.2,1083.771,121.872,11.717,6.804,22.588,0.048,1.2,0.917
0.2,1282.352,130.977,11.982,6.851,22.623,0.048,1.001,0.939
0.2,985.505,117.167,10.89,6.199,22.287,0.045,0.913,0.902
0.2,1154.69,128.154,11.729,5.776,23.8,0.054,0.959,0.884
0.2,1024.323,119.419,10.027,6.749,22.024,0.058,1.136,0.903
0.2,1227.132,129.523,10.435,6.751,22.364,0.049,0.959,0.919
0.2,1195.291,127.415,11.248,6.221,22.886,0.053,0.95,0.925
0.2,1094.098,122.66,11.224,6.404,21.664,0.057,0.95,0.914
0.2,1052.209,121.955,10.591,6.202,22.951,0.046,0.955,0.889
0.2,1085.411,121.643,12.146,6.273,22.442,0.048,1.003,0.922
0.2,886.804,114.527,10.79,6.129,22.173,0.053,0.87,0.85
0.2,1059.421,120.583,12.087,5.679,24.123,0.05,0.817,0.916
0.2,1079.358,122.58,11.146,6.659,21.815,0.052,0.913,0.903
0.2,943.91,117.868,10.114,5.737,22.53,0.054,1.214,0.854
0.2,1171.872,125.942,11.542,6.397,22.572,0.053,1.085,0.928
0.2,1029.402,121.221,10.605,6.294,22.171,0.064,1.115,0.88
0.2,1014.249,118.897,10.055,5.967,21.459,0.054,1.001,0.902
0.2,1079.744,121.294,12.719,6.016,22.645,0.052,1.006,0.922
0.2,987.125,121.113,10.656,5.922,22.623,0.053,1.007,0.846
0.2,971.473,121.306,10.252,6.199,24.823,0.049,1.005,0.83
0.2,1230.486,128.663,11.318,6.862,23.504,0.046,1.097,0.934
0.2,1189.701,126.109,11.944,6.5,22.865,0.042,1.087,0.94
0.2,1258.386,130.059,13.08,6.523,23.181,0.048,1.198,0.935
0.2,1141.045,126.034,11.814,6.063,22.751,0.057,1.094,0.903
0.2,1059.091,120.659,10.977,6.485,22.207,0.042,1.047,0.914
0.2,936.215,118.735,10.685,5.677,22.857,0.054,0.946,0.835
0.2,897.133,114.41,9.232,6.251,21.982,0.052,0.994,0.861
0.2,1249.301,128.324,10.958,6.641,23.796,0.062,0.923,0.953
0.2,1172.633,124.666,12.363,6.243,23.934,0.059,0.879,0.948
0.2,1141.909,126.95,11.406,6.316,23.154,0.051,1.007,0.89
0.2,1146.697,125.73,11.73,6.397,22.888,0.051,1.209,0.912
0.2,1146.56,125.444,11.924,6.339,24.288,0.049,1.084,0.916
0.2,1026.216,119.899,12.066,5.634,21.81,0.061,1.108,0.897
0.2,1157.685,125.522,11.108,6.634,22.658,0.055,1.005,0.923
0.2,1223.514,127.635,11.288,6.534,22.572,0.059,0.996,0.944
