true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter
0.0,22.57,20.986,0.368,1429.815,136.328
0.0,22.091,21.771,0.169,1394.229,135.215
0.0,22.243,21.185,0.305,1389.623,135.19
0.0,21.948,21.415,0.219,1374.102,134.509
0.0,21.97,21.751,0.141,1443.076,136.41
0.0,21.963,21.778,0.13,1437.395,136.733
0.0,22.481,22.104,0.182,1485.144,138.432
0.0,22.547,20.487,0.418,1398.765,134.697
0.0,21.943,21.279,0.244,1405.715,134.66
0.0,22.468,21.477,0.294,1436.149,136.814
0.0,21.929,20.796,0.317,1383.441,133.442
0.0,22.127,21.627,0.211,1438.493,136.416
0.0,22.139,21.724,0.193,1432.813,136.524
0.0,21.899,21.059,0.274,1403.477,134.713
0.0,22.147,21.823,0.17,1476.033,137.458
0.0,22.424,21.195,0.327,1415.375,136.68
0.0,22.198,21.834,0.18,1435.322,136.981
0.0,21.856,21.187,0.246,1389.581,134.473
0.0,22.045,20.871,0.322,1384.654,133.84
0.0,22.461,22.031,0.195,1486.662,138.542
0.0,21.949,21.246,0.251,1409.167,134.752
0.0,22.382,21.144,0.328,1425.6,135.793
0.0,22.504,21.29,0.324,1416.923,136.001
0.0,22.297,21.424,0.277,1451.325,136.703
0.0,22.215,21.734,0.207,1452.345,137.172
0.0,22.827,21.24,0.366,1440.113,137.103
0.0,21.857,21.616,0.148,1416.715,135.574
0.0,21.923,21.528,0.189,1419.248,135.274
0.0,22.175,21.26,0.284,1408.029,135.625
0.0,21.937,21.155,0.265,1384.159,134.15
0.0,21.888,21.198,0.249,1407.223,135.247
0.0,22.304,21.727,0.226,1464.809,137.363
0.0,22.439,21.808,0.236,1477.999,137.885
0.0,22.042,21.831,0.138,1438.835,136.503
0.0,21.789,21.387,0.191,1409.82,135.16
0.0,22.002,21.525,0.207,1430.976,135.951
0.0,22.117,21.378,0.256,1406.389,135.341
0.0,22.189,22.111,0.084,1490.712,138.593
0.0,22.71,21.209,0.357,1462.004,137.207
0.0,22.245,21.412,0.271,1419.318,135.673
0.0,21.87,21.521,0.178,1383.215,134.505
0.0,23.018,20.529,0.452,1393.893,134.943
0.0,22.172,21.561,0.233,1432.168,136.499
0.0,22.31,21.496,0.268,1436.877,136.539
0.0,22.077,21.811,0.155,1419.058,136.089
0.0,21.908,21.691,0.14,1424.66,136.156
0.0,21.868,21.416,0.202,1408.377,134.988
0.0,22.367,21.765,0.23,1486.613,138.079
0.0,22.315,21.916,0.188,1487.103,138.271
0.0,22.744,21.641,0.308,1459.856,137.669
0.2,22.475,21.612,0.274,1460.968,137.268
0.2,22.118,21.486,0.237,1435.655,135.792
0.2,22.05,21.48,0.226,1434.484,136.397
0.2,22.445,21.9,0.219,1490.534,138.366
0.2,22.616,21.384,0.326,1438.895,136.897
0.2,22.347,21.487,0.275,1459.769,136.922
0.2,22.194,22.052,0.113,1457.368,137.407
0.2,22.723,20.94,0.388,1404.644,135.472
