true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter
1.3,1.457,1.359,0.361,5.716,8.718
1.3,1.483,1.297,0.485,5.44,8.569
1.3,1.433,1.4,0.212,5.889,8.824
1.3,1.439,1.372,0.301,5.705,8.712
1.3,1.503,1.342,0.45,5.831,8.786
1.3,1.472,1.394,0.32,5.816,8.808
1.3,1.475,1.425,0.259,5.983,8.924
1.3,1.492,1.266,0.53,5.448,8.536
1.3,1.464,1.337,0.407,5.698,8.664
1.4,1.447,1.387,0.284,5.664,8.735
1.4,1.498,1.426,0.305,5.88,8.889
1.4,1.46,1.374,0.338,5.838,8.777
1.4,1.487,1.411,0.316,5.856,8.845
1.4,1.478,1.409,0.3,6.17,9.013
1.4,1.461,1.346,0.389,5.781,8.775
1.4,2.637,1.535,0.813,10.398,12.763
1.4,1.526,1.311,0.512,5.586,8.714
1.4,1.467,1.413,0.271,5.992,8.883
1.4,1.539,1.376,0.448,5.877,8.881
1.5,1.492,1.394,0.356,6.093,8.928
1.5,1.489,1.347,0.426,5.909,8.802
1.5,1.459,1.429,0.203,6.03,8.926
1.5,1.505,1.391,0.381,6.054,8.966
1.5,1.452,1.369,0.334,5.617,8.679
1.5,1.422,1.329,0.357,5.485,8.554
1.5,1.526,1.328,0.492,5.477,8.641
1.5,1.514,1.41,0.364,6.138,8.992
1.5,1.477,1.381,0.355,5.948,8.869
1.5,1.516,1.31,0.504,5.469,8.645
1.6,1.476,1.385,0.345,5.989,8.85
1.6,1.447,1.421,0.19,5.757,8.81
1.6,1.458,1.436,0.172,5.812,8.84
1.6,1.458,1.406,0.264,5.936,8.89
1.6,1.401,1.39,0.122,5.534,8.63
1.6,1.514,1.332,0.476,5.981,8.854
1.6,1.456,1.386,0.307,5.697,8.753
1.6,1.482,1.394,0.339,6.067,8.93
1.6,1.476,1.406,0.303,6.187,8.975
1.6,1.518,1.451,0.294,6.308,9.141
1.7,1.444,1.412,0.209,5.986,8.893
