true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,max_distance,aspect_ratio,area_to_perimeter_ratio,ellipticity
0.0,1.645,1.547,0.339,6.949,9.701,3.296,0.975,0.716,1.078
0.0,1.647,1.496,0.417,6.916,9.665,3.27,0.942,0.716,1.075
0.0,1.585,1.481,0.356,6.978,9.567,3.223,0.97,0.729,1.044
0.0,1.577,1.514,0.28,6.282,9.317,3.189,1.048,0.674,1.1
0.0,1.652,1.307,0.612,5.794,9.076,3.331,0.866,0.638,1.131
0.0,1.63,1.437,0.473,6.874,9.557,3.259,0.949,0.719,1.057
0.0,1.543,1.504,0.224,6.711,9.43,3.154,0.987,0.712,1.055
0.0,1.664,1.541,0.377,7.135,9.808,3.285,0.969,0.727,1.073
0.0,1.629,1.581,0.239,7.491,9.955,3.342,0.911,0.753,1.053
0.0,1.62,1.493,0.388,6.717,9.508,3.243,0.886,0.706,1.071
0.0,1.728,1.438,0.555,6.898,9.655,3.339,0.896,0.714,1.075
0.0,1.593,1.42,0.453,6.513,9.32,3.197,1.112,0.699,1.061
0.0,1.628,1.572,0.259,7.358,9.89,3.266,0.949,0.744,1.058
0.0,1.65,1.566,0.315,7.006,9.758,3.306,0.964,0.718,1.081
0.0,1.683,1.515,0.435,7.152,9.851,3.304,0.968,0.726,1.08
0.0,1.595,1.518,0.308,6.796,9.579,3.226,1.09,0.709,1.074
0.0,1.55,1.485,0.288,6.332,9.243,3.076,0.982,0.685,1.074
0.0,1.633,1.612,0.16,7.59,10.031,3.332,0.982,0.757,1.055
0.0,1.662,1.382,0.556,6.729,9.476,3.286,0.85,0.71,1.062
0.0,1.66,1.478,0.456,7.316,9.781,3.247,0.902,0.748,1.041
0.0,1.705,1.469,0.507,6.986,9.791,3.383,0.872,0.713,1.092
0.0,1.633,1.427,0.486,6.596,9.431,3.174,0.956,0.699,1.073
0.0,1.697,1.469,0.501,7.149,9.783,3.375,0.851,0.731,1.065
0.0,1.668,1.512,0.422,7.232,9.81,3.3,0.903,0.737,1.059
0.0,1.723,1.494,0.497,7.019,9.82,3.331,0.906,0.715,1.093
0.0,1.666,1.464,0.478,6.397,9.379,3.178,0.963,0.682,1.094
0.0,1.633,1.515,0.374,7.315,9.816,3.315,1.024,0.745,1.048
0.0,1.61,1.531,0.309,7.176,9.752,3.274,0.933,0.736,1.055
0.0,1.636,1.56,0.302,7.409,9.862,3.346,0.929,0.751,1.045
0.0,1.635,1.538,0.338,7.239,9.836,3.304,0.89,0.736,1.064
0.0,1.688,1.508,0.45,6.775,9.677,3.352,1.093,0.7,1.1
0.0,1.58,1.429,0.426,6.418,9.236,3.123,0.916,0.695,1.058
0.0,1.638,1.624,0.128,7.573,10.099,3.402,0.994,0.75,1.072
0.0,1.655,1.533,0.376,7.224,9.834,3.281,0.932,0.735,1.065
0.0,1.669,1.441,0.504,6.662,9.552,3.326,0.847,0.698,1.09
0.0,1.663,1.505,0.424,6.969,9.718,3.289,0.94,0.717,1.079
0.0,1.667,1.521,0.409,6.91,9.694,3.29,0.999,0.713,1.082
0.0,1.637,1.515,0.378,6.888,9.724,3.31,1.107,0.708,1.092
0.0,1.618,1.57,0.243,7.189,9.803,3.229,0.965,0.733,1.064
0.0,1.554,1.451,0.359,6.504,9.375,3.225,0.86,0.694,1.075
0.0,1.619,1.571,0.243,7.118,9.808,3.307,0.915,0.726,1.075
0.0,1.65,1.557,0.331,7.313,9.881,3.289,0.959,0.74,1.062
0.0,1.632,1.517,0.369,7.205,9.74,3.26,0.977,0.74,1.048
0.0,1.649,1.539,0.359,7.169,9.767,3.253,0.947,0.734,1.059
0.0,1.602,1.564,0.214,7.225,9.801,3.28,0.939,0.737,1.058
0.0,1.576,1.448,0.395,6.578,9.396,3.137,0.886,0.7,1.068
0.0,1.585,1.543,0.228,7.03,9.678,3.195,0.967,0.726,1.06
0.0,1.579,1.384,0.481,6.066,9.208,3.265,0.947,0.659,1.112
0.0,1.678,1.511,0.435,7.223,9.871,3.343,0.864,0.732,1.073
0.0,1.68,1.555,0.378,7.505,9.982,3.391,0.948,0.752,1.057
0.3,1.7,1.491,0.48,7.046,9.784,3.313,0.904,0.72,1.081
0.3,1.713,1.554,0.42,7.272,9.91,3.315,0.949,0.734,1.075
0.3,1.631,1.581,0.248,6.92,9.754,3.267,0.986,0.709,1.094
0.3,1.712,1.353,0.613,6.814,9.562,3.4,0.773,0.713,1.068
0.3,1.706,1.51,0.465,7.014,9.828,3.39,0.903,0.714,1.096
0.3,1.7,1.3,0.644,5.943,9.087,3.144,1.149,0.654,1.106
0.3,1.641,1.588,0.254,7.085,9.872,3.363,1.044,0.718,1.095
0.3,1.631,1.61,0.161,7.24,9.949,3.336,1.011,0.728,1.088
0.3,1.64,1.459,0.457,6.627,9.488,3.286,1.164,0.698,1.081
0.3,1.636,1.581,0.256,7.329,9.862,3.255,0.928,0.743,1.056
0.3,1.647,1.553,0.333,7.031,9.762,3.341,0.95,0.72,1.079
0.3,1.7,1.475,0.497,6.761,9.608,3.228,1.044,0.704,1.087
0.3,1.7,1.453,0.52,6.595,9.522,3.373,0.924,0.693,1.094
0.3,1.576,1.487,0.332,6.56,9.355,3.081,0.999,0.701,1.062
0.3,1.585,1.556,0.192,7.221,9.769,3.202,0.991,0.739,1.052
0.3,1.655,1.534,0.376,7.156,9.824,3.252,1.022,0.728,1.073
0.3,1.609,1.498,0.364,6.797,9.543,3.188,0.939,0.712,1.066
0.3,1.597,1.475,0.383,6.008,9.323,3.294,1.073,0.644,1.151
0.3,1.625,1.528,0.34,6.548,9.54,3.283,1.029,0.686,1.106
0.3,1.601,1.535,0.283,7.381,9.804,3.197,1.032,0.753,1.036
0.3,1.591,1.505,0.324,6.647,9.639,3.231,0.993,0.69,1.112
0.3,1.563,1.443,0.385,6.313,9.184,3.054,1.077,0.687,1.063
0.3,1.661,1.498,0.431,7.05,9.713,3.389,0.988,0.726,1.065
