true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,eccentricity_ratio,aspect_ratio,theta
0.1,1.303,1.237,0.315,4.521,7.779,1.054,0.98,-1.007
0.1,1.31,1.006,0.64,3.398,7.049,1.302,0.754,-0.335
0.1,1.323,1.177,0.458,4.428,7.765,0.889,0.968,0.616
0.1,1.362,1.125,0.564,4.232,7.61,0.826,1.068,2.394
0.1,1.273,1.097,0.508,3.727,7.273,1.161,0.797,0.229
0.1,1.358,1.147,0.536,4.448,7.715,0.844,1.094,-0.521
0.1,1.3,1.163,0.448,4.256,7.572,1.118,0.872,-0.147
0.1,1.236,1.178,0.301,4.165,7.445,1.049,0.98,0.614
0.1,1.277,1.256,0.177,4.371,7.722,0.984,1.038,0.377
0.1,1.342,1.159,0.504,4.373,7.699,0.864,1.195,-0.082
0.1,1.261,1.24,0.185,4.363,7.709,1.018,1.026,-0.179
0.1,1.269,1.144,0.433,4.057,7.432,1.109,0.943,-0.524
0.1,1.388,1.046,0.657,3.922,7.412,0.754,1.188,0.302
0.1,1.297,1.091,0.541,3.7,7.243,0.841,1.199,0.002
0.1,1.329,1.276,0.281,4.804,7.998,0.96,1.025,0.101
0.2,1.318,1.075,0.578,4.117,7.454,0.816,1.206,-0.23
0.2,1.298,1.188,0.402,4.299,7.642,1.092,0.876,0.108
0.2,1.285,1.146,0.453,4.331,7.585,0.891,0.98,5.401
0.2,1.33,1.254,0.332,4.655,7.892,0.943,1.001,-4.264
0.2,1.34,1.216,0.42,4.599,7.873,0.907,1.036,-0.908
0.2,1.234,1.142,0.38,3.73,7.155,0.925,1.087,-0.202
0.2,1.286,1.259,0.205,4.412,7.798,0.979,0.991,0.446
0.2,1.348,1.193,0.466,4.281,7.75,1.13,1.023,2.336
0.2,1.317,1.175,0.453,4.262,7.607,0.892,1.078,-0.091
0.2,1.312,1.181,0.436,4.26,7.631,1.111,0.925,-0.262
0.2,1.332,1.194,0.443,4.618,7.837,0.897,1.0,3.882
0.2,1.271,1.014,0.604,3.492,7.027,1.254,0.87,0.666
0.2,1.286,1.182,0.394,4.342,7.615,1.088,1.012,1.901
0.2,1.361,1.018,0.663,3.762,7.21,0.748,1.024,3.887
0.2,1.315,1.193,0.422,4.43,7.707,1.103,0.896,0.374
0.2,1.283,1.243,0.247,4.639,7.831,1.032,0.946,0.392
0.2,1.365,1.098,0.594,4.079,7.578,1.243,0.995,-3.92
0.2,1.328,1.273,0.285,4.774,7.96,0.958,1.107,0.21
0.2,1.287,1.212,0.337,4.446,7.723,0.942,1.025,-0.655
0.2,1.344,1.097,0.578,3.93,7.416,0.816,1.032,-3.767
0.2,1.34,1.203,0.44,4.345,7.703,0.898,1.129,-0.001
0.2,1.254,1.133,0.429,3.987,7.364,1.107,0.944,-0.762
0.2,1.268,1.239,0.21,4.426,7.69,1.023,1.005,-2.191
0.2,1.293,1.142,0.47,4.244,7.536,1.133,0.893,-0.274
0.2,1.335,0.943,0.708,3.335,7.033,1.417,0.713,-0.134
0.2,1.322,1.168,0.468,4.414,7.707,1.131,0.986,4.081
0.2,1.357,1.158,0.522,4.159,7.607,1.172,0.797,-0.333
0.2,1.257,1.059,0.539,3.76,7.158,1.187,0.961,0.701
0.2,1.236,1.191,0.267,4.298,7.516,1.038,1.057,-0.465
0.2,1.289,1.077,0.549,3.951,7.359,0.836,1.207,0.164
0.2,1.286,1.189,0.381,4.29,7.599,1.081,0.964,0.272
0.2,1.363,1.142,0.545,4.256,7.681,1.193,1.058,-0.871
0.2,1.321,1.128,0.521,4.134,7.523,1.171,0.912,2.39
0.2,1.28,1.186,0.376,4.292,7.609,0.927,1.015,1.339
0.2,1.288,1.097,0.525,3.867,7.267,0.851,1.232,-0.03
0.2,1.304,1.22,0.354,4.574,7.798,1.069,0.957,-0.63
0.2,1.322,1.039,0.618,3.252,6.967,1.272,0.783,-0.133
0.2,1.3,1.201,0.382,4.264,7.594,0.924,0.994,1.776
0.2,1.298,1.226,0.327,4.573,7.877,1.058,0.981,-0.605
0.2,1.246,1.221,0.198,4.259,7.611,1.02,0.934,0.086
0.2,1.291,1.278,0.141,4.351,7.741,0.99,1.006,0.36
0.2,1.375,1.106,0.594,4.361,7.633,0.805,1.208,-0.111
0.2,1.375,1.204,0.483,4.605,7.903,0.876,1.055,0.637
0.2,1.305,1.219,0.358,4.511,7.756,0.934,1.028,0.323
0.2,1.34,1.253,0.354,4.726,7.937,0.935,1.001,-3.804
0.2,1.368,1.155,0.535,4.392,7.695,1.184,0.925,-0.438
0.2,1.268,1.066,0.541,3.511,7.092,0.841,1.119,0.306
0.2,1.204,1.172,0.229,3.985,7.308,1.027,1.003,-6.04
0.2,1.298,1.255,0.255,4.304,7.712,1.034,0.96,-0.103
0.2,1.289,1.088,0.536,3.835,7.342,1.185,1.032,-2.114
0.3,1.349,1.221,0.425,4.497,7.81,0.905,1.005,4.042
0.3,1.242,1.181,0.31,4.041,7.504,1.052,0.949,-0.325
0.3,1.337,1.219,0.41,4.656,7.887,0.912,1.096,-0.725
0.3,1.34,1.148,0.515,4.27,7.611,1.167,0.914,-0.682
0.3,1.306,1.243,0.306,4.46,7.786,0.952,1.028,0.052
0.3,1.315,1.259,0.289,4.737,7.946,0.957,1.008,-7.048
0.3,1.338,1.176,0.477,4.315,7.656,1.138,0.832,0.006
0.3,1.341,1.169,0.491,4.593,7.796,1.148,0.976,7.031
0.3,1.337,1.136,0.527,4.172,7.546,0.85,1.149,0.009
0.3,1.272,1.175,0.383,4.307,7.614,1.083,0.947,0.532
0.3,1.303,1.278,0.194,4.423,7.853,0.981,0.981,0.263
0.3,1.308,1.132,0.5,4.235,7.547,0.866,1.022,-3.91
0.3,1.331,1.238,0.368,4.544,7.87,1.075,0.945,-0.669
0.3,1.361,1.006,0.674,3.759,7.307,0.739,1.352,0.203
0.3,1.316,1.208,0.396,4.373,7.705,1.089,0.972,-0.935
0.3,1.297,1.045,0.592,3.859,7.292,0.806,1.217,-0.358
0.3,1.36,1.157,0.525,4.341,7.716,0.851,1.125,-0.474
0.3,1.323,1.215,0.395,4.302,7.726,0.919,1.071,-0.485
0.3,1.307,1.138,0.493,3.872,7.339,0.87,1.168,0.636
0.3,1.287,1.225,0.307,4.266,7.601,0.952,1.003,-3.764
0.3,1.333,1.088,0.577,4.119,7.447,0.817,1.005,-4.006
0.3,1.268,1.168,0.389,4.216,7.523,1.086,0.943,0.204
0.3,1.324,1.168,0.471,4.097,7.609,1.134,0.994,3.925
0.3,1.329,1.049,0.614,3.708,7.274,0.789,1.264,0.27
0.3,1.332,1.112,0.55,3.841,7.356,1.198,0.932,0.832
0.3,1.333,1.196,0.442,4.491,7.773,0.897,1.129,0.212
0.3,1.335,1.283,0.276,4.92,8.056,0.961,1.018,0.485
0.3,1.298,1.139,0.479,4.204,7.52,1.139,0.955,-0.614
0.3,1.422,1.156,0.582,3.955,7.542,0.813,0.968,2.064
0.3,1.347,1.167,0.5,4.352,7.737,1.155,0.932,-0.468
0.3,1.299,1.188,0.404,4.465,7.699,0.915,1.07,0.472
