true_angle,semi_major_axis,semi_minor_axis,convex_hull_area,convex_hull_perimeter,max_distance,area_to_perimeter_ratio
0.0,1.505,1.474,6.744,9.331,3.043,0.723
0.0,1.519,1.503,6.992,9.468,3.1,0.739
0.0,1.516,1.506,6.971,9.439,3.071,0.739
0.0,1.51,1.461,6.691,9.27,3.042,0.722
0.0,1.522,1.463,6.727,9.311,3.088,0.722
0.0,1.539,1.498,7.067,9.497,3.096,0.744
0.0,1.518,1.495,6.858,9.402,3.062,0.729
0.0,1.521,1.504,6.98,9.467,3.077,0.737
0.0,1.529,1.474,6.85,9.382,3.078,0.73
0.0,1.531,1.483,6.956,9.457,3.083,0.735
0.0,1.555,1.505,6.906,9.472,3.094,0.729
0.0,1.528,1.5,7.042,9.497,3.097,0.741
0.0,1.508,1.458,6.714,9.278,3.031,0.724
0.0,1.52,1.503,6.883,9.432,3.057,0.73
0.0,1.537,1.453,6.713,9.306,3.08,0.721
0.0,1.519,1.485,6.768,9.372,3.064,0.722
0.0,1.524,1.494,6.857,9.394,3.079,0.73
0.0,1.532,1.5,6.947,9.453,3.059,0.735
0.0,1.546,1.495,7.022,9.496,3.083,0.739
0.0,1.515,1.511,7.008,9.495,3.076,0.738
0.0,1.522,1.508,6.986,9.474,3.077,0.737
0.0,1.526,1.498,7.016,9.473,3.063,0.741
0.0,1.525,1.476,6.793,9.385,3.076,0.724
0.0,1.53,1.495,6.863,9.436,3.092,0.727
0.0,1.533,1.493,6.998,9.461,3.062,0.74
0.0,1.547,1.463,6.873,9.405,3.081,0.731
0.0,1.526,1.471,6.787,9.376,3.078,0.724
0.0,1.523,1.448,6.705,9.291,3.058,0.722
0.0,1.521,1.45,6.751,9.304,3.049,0.726
0.0,1.515,1.489,6.763,9.37,3.076,0.722
0.0,1.525,1.487,6.927,9.422,3.079,0.735
0.0,1.532,1.457,6.842,9.369,3.079,0.73
0.0,1.525,1.448,6.642,9.297,3.096,0.714
0.0,1.525,1.49,6.886,9.408,3.079,0.732
0.0,1.544,1.475,6.87,9.414,3.09,0.73
0.0,1.529,1.486,6.956,9.444,3.074,0.737
0.0,1.515,1.486,6.793,9.372,3.054,0.725
0.0,1.526,1.487,6.843,9.398,3.086,0.728
0.0,1.528,1.49,6.814,9.388,3.077,0.726
0.0,1.508,1.5,6.857,9.39,3.054,0.73
0.0,1.505,1.484,6.722,9.322,3.045,0.721
0.0,1.538,1.476,6.689,9.345,3.087,0.716
0.0,1.528,1.486,6.884,9.409,3.076,0.732
0.0,1.521,1.493,6.892,9.412,3.056,0.732
0.0,1.509,1.496,6.843,9.382,3.053,0.729
0.0,1.526,1.497,6.887,9.426,3.061,0.731
0.0,1.523,1.476,6.789,9.352,3.055,0.726
0.0,1.52,1.447,6.676,9.273,3.046,0.72
0.0,1.511,1.48,6.768,9.337,3.06,0.725
0.0,1.54,1.484,6.867,9.402,3.077,0.73
0.1,1.511,1.491,6.854,9.403,3.069,0.729
0.1,1.533,1.503,6.931,9.452,3.093,0.733
0.1,1.536,1.478,6.91,9.425,3.081,0.733
0.1,1.507,1.483,6.816,9.344,3.044,0.73
0.1,1.538,1.502,6.929,9.449,3.074,0.733
0.1,1.526,1.489,6.906,9.406,3.036,0.734
0.1,1.515,1.462,6.596,9.282,3.063,0.711
0.1,1.536,1.498,6.87,9.424,3.085,0.729
0.1,2.707,1.66,10.673,13.277,5.401,0.804
0.1,1.508,1.489,6.726,9.337,3.04,0.72
0.1,1.522,1.48,6.88,9.404,3.09,0.732
0.1,1.535,1.505,7.017,9.49,3.074,0.739
0.1,1.518,1.492,6.853,9.383,3.067,0.73
0.1,1.532,1.506,7.074,9.504,3.074,0.744
0.1,1.517,1.512,6.972,9.46,3.077,0.737
0.1,1.518,1.509,6.983,9.456,3.067,0.739
0.1,1.515,1.466,6.767,9.351,3.063,0.724
0.1,1.526,1.473,6.743,9.341,3.099,0.722
0.1,1.523,1.486,6.9,9.418,3.061,0.733
0.1,1.523,1.505,7.029,9.484,3.061,0.741
0.1,1.541,1.444,6.734,9.322,3.064,0.722
0.1,1.504,1.467,6.665,9.286,3.076,0.718
0.1,1.534,1.488,6.861,9.407,3.093,0.729
0.1,1.531,1.479,6.869,9.403,3.065,0.73
0.1,1.526,1.496,6.969,9.452,3.075,0.737
0.1,1.508,1.471,6.75,9.318,3.051,0.724
0.1,1.544,1.489,6.795,9.408,3.076,0.722
0.1,1.533,1.508,7.062,9.52,3.082,0.742
