true_angle,semi_major_axis,semi_minor_axis,convex_hull_area,convex_hull_perimeter,max_distance,area_to_perimeter_ratio
0.1,1.472,1.389,6.007,8.92,3.005,0.673
0.1,1.475,1.405,5.98,8.912,2.926,0.671
0.1,1.461,1.383,5.825,8.793,2.995,0.662
0.1,1.523,1.406,6.28,9.125,3.084,0.688
0.1,1.523,1.495,5.98,9.064,3.02,0.66
0.1,1.473,1.349,5.968,8.831,2.987,0.676
0.1,1.505,1.469,6.269,9.162,3.052,0.684
0.1,1.549,1.46,6.578,9.287,3.1,0.708
0.1,1.508,1.428,6.356,9.138,3.036,0.696
0.1,1.537,1.433,6.375,9.193,3.085,0.694
0.1,1.499,1.458,6.321,9.132,3.04,0.692
0.1,1.544,1.402,6.237,9.123,3.084,0.684
0.1,1.556,1.369,6.24,9.074,3.066,0.688
0.1,1.502,1.445,6.379,9.171,3.013,0.696
0.1,1.498,1.409,6.159,9.023,2.977,0.683
0.1,1.499,1.39,5.833,8.87,3.038,0.658
0.1,1.477,1.432,6.183,9.027,3.0,0.685
0.1,1.523,1.394,5.968,8.96,3.005,0.666
0.1,1.506,1.353,5.856,8.857,3.003,0.661
0.1,1.524,1.472,6.42,9.23,3.071,0.696
0.1,1.545,1.398,6.355,9.151,3.073,0.695
0.1,1.518,1.38,6.187,9.034,3.065,0.685
0.1,1.415,1.395,5.693,8.653,2.854,0.658
0.1,1.485,1.339,5.696,8.727,3.009,0.653
0.1,1.474,1.337,5.941,8.797,2.918,0.675
0.1,1.516,1.447,6.349,9.174,3.082,0.692
0.1,1.511,1.449,6.31,9.134,2.988,0.691
0.1,1.446,1.323,5.574,8.616,3.007,0.647
0.1,1.531,1.398,6.011,8.974,2.995,0.67
0.1,1.495,1.486,6.252,9.137,3.086,0.684
0.1,1.485,1.475,6.257,9.103,3.022,0.687
0.1,1.522,1.416,6.355,9.096,2.997,0.699
0.1,1.572,1.406,6.183,9.084,3.031,0.681
0.1,1.462,1.391,5.854,8.825,2.936,0.663
0.1,1.467,1.398,5.926,8.866,2.941,0.668
0.1,1.474,1.427,6.021,8.954,3.024,0.672
0.1,1.513,1.462,6.347,9.185,3.037,0.691
0.1,1.526,1.392,6.105,9.003,3.053,0.678
0.1,1.558,1.441,6.223,9.157,3.078,0.68
0.1,1.58,1.368,6.085,9.025,3.056,0.674
0.1,1.47,1.45,6.439,9.15,3.04,0.704
0.1,1.491,1.466,6.471,9.195,3.044,0.704
0.1,1.491,1.413,5.935,8.954,3.052,0.663
0.1,1.501,1.405,6.231,9.047,3.009,0.689
0.1,1.511,1.468,6.256,9.152,3.027,0.684
0.1,1.499,1.347,6.048,8.908,3.041,0.679
0.1,1.519,1.435,6.394,9.184,3.062,0.696
0.1,1.458,1.442,6.021,8.955,2.953,0.672
0.1,1.502,1.316,5.427,8.593,3.008,0.632
0.1,1.501,1.388,6.221,9.02,3.026,0.69
0.1,1.529,1.389,6.316,9.066,3.041,0.697
0.1,1.538,1.429,6.326,9.141,3.052,0.692
0.1,1.517,1.385,6.104,9.013,3.081,0.677
0.1,1.533,1.469,6.425,9.215,3.058,0.697
0.1,1.507,1.455,6.412,9.167,3.064,0.699
0.1,1.473,1.404,6.265,9.025,3.006,0.694
0.1,1.49,1.429,6.285,9.076,2.98,0.692
0.1,1.503,1.468,6.399,9.188,3.03,0.697
0.1,1.458,1.399,5.865,8.931,3.074,0.657
0.1,1.478,1.404,6.238,9.029,3.037,0.691
0.1,1.524,1.379,6.083,8.998,3.069,0.676
0.1,1.537,1.424,6.345,9.165,3.077,0.692
0.1,1.513,1.466,6.36,9.155,3.032,0.695
0.1,1.516,1.376,6.072,8.928,3.053,0.68
0.1,1.503,1.445,6.208,9.099,3.02,0.682
0.1,1.478,1.442,6.222,9.107,3.024,0.683
0.1,1.473,1.463,6.241,9.075,2.967,0.688
0.1,1.504,1.482,6.616,9.283,3.04,0.713
0.1,1.521,1.399,6.234,9.046,3.017,0.689
0.1,1.521,1.482,6.649,9.312,3.057,0.714
0.1,1.497,1.367,5.9,8.858,3.04,0.666
0.1,1.505,1.308,5.905,8.784,3.04,0.672
0.1,1.47,1.394,6.005,8.907,2.973,0.674
0.1,1.558,1.377,6.22,9.063,3.002,0.686
0.1,1.522,1.423,6.482,9.206,3.031,0.704
0.1,1.495,1.466,6.489,9.206,3.002,0.705
0.1,1.48,1.392,6.107,8.931,2.964,0.684
0.1,1.544,1.373,5.738,8.851,2.929,0.648
0.1,1.487,1.372,6.112,8.927,2.949,0.685
0.1,1.476,1.404,5.792,8.792,2.939,0.659
0.1,1.504,1.424,6.27,9.05,2.989,0.693
0.1,1.465,1.365,5.775,8.751,2.966,0.66
0.1,1.501,1.457,6.314,9.146,3.021,0.69
0.1,1.513,1.441,6.412,9.183,3.011,0.698
0.1,1.51,1.449,6.367,9.164,3.026,0.695
0.1,1.478,1.426,6.02,8.961,3.003,0.672
0.1,1.566,1.406,6.413,9.188,3.037,0.698
0.1,1.509,1.411,6.167,9.072,3.056,0.68
0.2,1.555,1.313,5.648,8.767,3.075,0.644
0.2,1.475,1.41,6.158,8.977,2.934,0.686
0.2,1.449,1.407,5.962,8.879,2.95,0.672
0.2,1.511,1.457,6.251,9.106,3.014,0.687
0.2,1.492,1.432,6.341,9.106,2.989,0.696
0.2,1.498,1.402,5.933,8.915,3.036,0.665
0.2,1.539,1.4,6.021,9.026,2.988,0.667
0.2,1.572,1.443,6.391,9.232,3.056,0.692
0.2,1.513,1.469,6.503,9.246,3.086,0.703
0.2,1.506,1.363,6.067,8.964,3.017,0.677
0.2,1.483,1.419,6.282,9.054,3.0,0.694
0.2,1.566,1.387,6.286,9.125,3.044,0.689
0.2,1.544,1.389,6.246,9.101,3.063,0.686
0.2,1.513,1.443,6.348,9.13,3.029,0.695
0.2,1.491,1.382,6.2,9.005,3.021,0.689
0.2,1.487,1.403,6.092,8.991,3.083,0.678
0.2,1.488,1.455,6.302,9.091,2.99,0.693
0.2,1.52,1.426,6.189,9.091,3.045,0.681
0.2,1.493,1.451,6.331,9.12,3.039,0.694
0.2,1.504,1.428,6.179,9.049,3.007,0.683
0.2,1.481,1.384,6.075,8.948,2.974,0.679
0.2,1.49,1.461,6.329,9.143,3.056,0.692
0.2,1.495,1.412,6.066,8.957,2.991,0.677
0.2,1.522,1.441,6.038,9.072,3.004,0.666
0.2,1.545,1.412,6.215,9.117,3.064,0.682
0.2,1.535,1.327,6.005,8.929,3.021,0.673
0.2,1.491,1.35,5.841,8.841,3.001,0.661
0.2,1.448,1.377,5.699,8.757,2.997,0.651
0.2,1.506,1.462,6.47,9.189,3.042,0.704
0.2,1.515,1.445,6.448,9.197,3.033,0.701
0.2,1.501,1.415,6.208,9.048,3.064,0.686
0.2,1.42,1.366,5.693,8.65,2.87,0.658
0.2,1.517,1.464,6.429,9.199,3.035,0.699
0.2,1.508,1.401,6.218,9.021,2.996,0.689
0.2,1.467,1.358,5.76,8.78,2.909,0.656
0.2,1.455,1.419,6.104,8.946,2.915,0.682
0.2,1.515,1.39,6.223,9.018,3.04,0.69
0.2,1.45,1.43,6.107,8.995,2.985,0.679
0.2,1.526,1.461,6.479,9.257,3.088,0.7
0.2,1.507,1.455,6.576,9.237,3.024,0.712
0.2,1.541,1.381,6.387,9.121,3.043,0.7
0.2,1.553,1.399,6.158,9.125,3.086,0.675
0.2,1.522,1.457,6.257,9.183,3.071,0.681
0.2,1.519,1.435,6.592,9.245,3.069,0.713
0.2,1.533,1.459,6.489,9.23,3.063,0.703
0.2,1.514,1.482,6.604,9.287,3.068,0.711
0.2,1.482,1.359,5.648,8.797,3.033,0.642
0.2,1.556,1.301,5.978,8.947,3.082,0.668
0.2,1.5,1.437,6.445,9.151,3.017,0.704
0.2,1.509,1.46,6.153,9.078,3.036,0.678
0.2,1.532,1.397,6.227,9.081,3.0,0.686
0.2,1.483,1.472,6.361,9.13,2.994,0.697
0.2,1.516,1.444,6.375,9.151,3.055,0.697
0.2,1.48,1.435,6.297,9.059,3.018,0.695
0.2,1.483,1.361,5.929,8.836,2.938,0.671
0.2,1.524,1.375,6.139,9.003,3.071,0.682
0.2,1.445,1.403,5.84,8.803,2.936,0.663
0.2,1.449,1.365,5.819,8.735,2.984,0.666
0.2,1.567,1.408,6.194,9.088,3.054,0.682
0.2,1.5,1.464,6.418,9.17,3.012,0.7
0.2,1.519,1.332,5.893,8.859,2.991,0.665
0.2,1.466,1.392,6.028,8.941,2.954,0.674
0.2,1.485,1.463,6.328,9.123,3.011,0.694
0.2,1.576,1.375,5.924,8.997,3.071,0.658
0.2,1.533,1.472,6.607,9.33,3.08,0.708
0.2,1.553,1.363,5.855,8.879,3.021,0.659
0.2,1.48,1.447,6.252,9.088,3.043,0.688
0.2,1.492,1.482,6.499,9.215,2.997,0.705
0.2,1.504,1.475,6.23,9.138,3.023,0.682
0.2,1.472,1.416,6.034,8.935,3.011,0.675
0.2,1.441,1.42,6.037,8.916,2.935,0.677
0.2,1.463,1.42,5.928,8.873,2.917,0.668
0.2,1.514,1.383,6.075,8.942,2.973,0.679
0.2,1.486,1.462,6.17,9.079,3.005,0.68
0.2,1.507,1.433,6.371,9.156,3.046,0.696
0.2,1.463,1.413,5.927,8.84,2.945,0.671
0.2,1.56,1.304,5.93,8.882,3.053,0.668
0.2,1.46,1.419,5.973,8.992,3.043,0.664
0.2,1.533,1.459,6.182,9.113,3.052,0.678
0.2,1.53,1.408,6.004,8.986,3.049,0.668
0.2,1.48,1.42,6.245,9.044,3.006,0.691
0.2,1.523,1.421,6.494,9.238,3.091,0.703
0.2,1.549,1.351,6.087,8.972,3.021,0.678
0.2,1.507,1.416,6.35,9.09,3.023,0.699
0.2,1.549,1.373,6.152,9.064,3.039,0.679
0.2,1.522,1.47,6.477,9.216,3.037,0.703
0.2,1.515,1.45,6.332,9.136,3.018,0.693
0.2,1.558,1.343,6.028,9.007,3.051,0.669
0.2,1.511,1.435,6.352,9.155,3.035,0.694
0.2,1.521,1.357,6.004,8.917,3.032,0.673
0.2,1.516,1.418,6.111,9.05,3.053,0.675
0.2,1.456,1.426,5.769,8.796,2.939,0.656
0.2,1.52,1.439,6.316,9.156,3.01,0.69
0.2,1.513,1.483,6.471,9.257,3.057,0.699
0.2,1.518,1.428,6.285,9.106,3.075,0.69
0.2,1.467,1.386,6.032,8.911,3.029,0.677
0.2,1.495,1.442,6.033,8.977,3.048,0.672
0.2,1.499,1.467,6.459,9.219,3.05,0.701
0.2,1.468,1.359,5.662,8.702,2.953,0.651
0.2,1.511,1.469,6.418,9.203,3.069,0.697
0.3,1.498,1.364,5.803,8.822,3.042,0.658
0.3,1.529,1.431,6.168,9.104,3.06,0.678
0.3,1.5,1.455,6.486,9.199,3.083,0.705
0.3,1.524,1.41,6.223,9.062,3.011,0.687
0.3,1.502,1.44,5.989,9.043,3.066,0.662
0.3,1.51,1.439,6.059,9.025,2.975,0.671
0.3,1.489,1.389,6.144,8.954,2.999,0.686
0.3,1.469,1.44,6.139,9.045,3.061,0.679
0.3,1.512,1.407,6.227,9.069,3.063,0.687
0.3,1.543,1.406,6.258,9.093,3.043,0.688
0.3,1.475,1.387,5.914,8.881,3.003,0.666
0.3,1.488,1.446,6.384,9.176,3.051,0.696
0.3,1.487,1.421,5.851,8.907,3.007,0.657
0.3,1.431,1.368,5.714,8.719,2.994,0.655
0.3,1.495,1.492,6.345,9.201,3.085,0.69
0.3,1.465,1.423,6.195,8.974,2.975,0.69
0.3,1.482,1.438,6.348,9.09,2.966,0.698
0.3,1.497,1.394,6.176,8.982,2.981,0.688
0.3,1.522,1.372,6.298,9.087,3.046,0.693
0.3,1.472,1.37,5.783,8.783,2.926,0.658
0.3,1.509,1.476,6.337,9.173,3.056,0.691
0.3,1.505,1.437,6.263,9.081,3.019,0.69
0.3,1.499,1.468,6.438,9.211,3.067,0.699
0.3,1.508,1.453,6.474,9.192,3.047,0.704
0.3,1.545,1.424,6.472,9.196,3.035,0.704
0.3,1.503,1.477,6.373,9.178,3.022,0.694
0.3,1.529,1.455,6.36,9.188,3.072,0.692
0.3,1.515,1.43,6.485,9.233,3.059,0.702
0.3,1.516,1.376,6.196,9.059,2.993,0.684
0.3,1.518,1.428,6.119,9.027,2.984,0.678
0.3,1.468,1.42,5.988,8.932,2.988,0.67
0.3,1.513,1.454,6.479,9.191,3.016,0.705
0.3,1.503,1.412,6.247,9.068,3.013,0.689
0.3,1.466,1.399,5.699,8.82,2.979,0.646
0.3,1.497,1.425,6.081,9.031,3.011,0.673
0.3,1.472,1.433,6.238,9.033,2.97,0.691
0.3,1.499,1.456,6.425,9.164,3.048,0.701
0.3,1.527,1.403,6.227,9.063,3.017,0.687
0.3,1.514,1.482,6.684,9.312,3.054,0.718
0.3,1.529,1.43,6.465,9.216,3.07,0.701
0.3,1.546,1.368,6.156,9.021,3.01,0.682
0.3,1.485,1.443,6.449,9.147,3.043,0.705
0.3,1.565,1.295,5.812,8.867,3.029,0.655
0.3,1.44,1.362,5.814,8.732,2.874,0.666
0.3,1.545,1.441,6.243,9.139,3.093,0.683
0.3,1.521,1.478,6.709,9.344,3.072,0.718
0.3,1.479,1.438,6.343,9.112,3.03,0.696
0.3,1.5,1.454,6.431,9.186,3.078,0.7
0.3,1.517,1.444,6.46,9.174,3.014,0.704
0.3,1.521,1.485,6.51,9.261,3.034,0.703
0.3,1.481,1.392,6.03,8.938,2.987,0.675
0.3,1.536,1.433,6.445,9.186,3.055,0.702
0.3,1.517,1.503,6.572,9.314,3.049,0.706
0.3,1.535,1.376,6.277,9.081,3.059,0.691
0.3,1.504,1.363,6.058,8.888,3.032,0.682
0.3,1.525,1.384,5.95,9.014,3.097,0.66
0.3,1.512,1.341,5.947,8.877,3.034,0.67
0.3,1.5,1.369,5.851,8.867,3.033,0.66
0.3,1.522,1.423,6.455,9.192,3.062,0.702
0.3,1.517,1.413,5.918,8.933,3.034,0.662
0.3,1.536,1.383,6.18,9.029,3.04,0.684
0.3,1.497,1.429,6.337,9.106,3.082,0.696
0.3,1.487,1.437,6.152,9.069,3.026,0.678
0.3,1.507,1.416,6.135,9.009,2.969,0.681
0.3,1.478,1.434,6.175,9.046,3.018,0.683
0.3,1.478,1.474,6.272,9.085,2.979,0.69
0.3,1.508,1.444,6.108,9.04,2.986,0.676
0.3,1.472,1.411,6.252,9.054,3.021,0.69
0.3,1.455,1.373,5.936,8.804,2.929,0.674
0.3,1.464,1.339,5.689,8.742,2.943,0.651
0.3,1.519,1.433,6.338,9.142,3.079,0.693
0.3,1.482,1.429,6.177,9.073,3.026,0.681
0.3,1.495,1.436,6.392,9.171,3.063,0.697
0.3,1.498,1.44,6.26,9.099,3.027,0.688
0.3,1.533,1.436,6.18,9.093,3.022,0.68
0.3,1.445,1.402,5.947,8.826,2.945,0.674
0.3,1.489,1.41,6.27,9.07,2.999,0.691
0.3,1.495,1.414,6.205,9.039,3.005,0.687
0.3,1.498,1.373,5.821,8.816,2.969,0.66
0.3,1.445,1.364,5.652,8.731,2.985,0.647
0.3,1.521,1.418,6.019,8.986,3.086,0.67
0.3,1.498,1.41,6.097,8.968,2.994,0.68
0.3,1.469,1.383,5.894,8.85,2.915,0.666
0.3,1.498,1.38,5.869,8.876,3.04,0.661
0.3,1.527,1.373,6.279,9.071,3.007,0.692
0.3,1.539,1.368,5.996,8.951,3.04,0.67
0.3,1.528,1.429,6.186,9.102,3.022,0.68
0.3,1.515,1.458,6.071,9.064,3.047,0.67
0.3,1.519,1.384,6.097,9.008,3.044,0.677
0.3,1.504,1.416,6.344,9.095,3.043,0.698
0.3,1.498,1.464,6.236,9.094,2.993,0.686
0.3,1.481,1.373,6.05,8.876,3.018,0.682
0.3,1.54,1.433,6.419,9.196,3.08,0.698
0.3,1.51,1.426,5.998,8.987,2.969,0.667
0.3,1.507,1.346,5.786,8.797,3.006,0.658
0.3,1.536,1.465,6.688,9.359,3.072,0.715
0.3,1.509,1.487,6.569,9.262,3.033,0.709
0.3,1.542,1.359,6.066,9.023,3.072,0.672
0.3,1.523,1.429,6.404,9.182,3.066,0.697
0.3,1.506,1.446,6.389,9.177,3.051,0.696
0.4,1.494,1.374,6.072,8.974,3.053,0.677
0.4,1.516,1.38,6.157,9.009,3.058,0.683
0.4,1.537,1.364,6.269,9.033,3.08,0.694
0.4,1.528,1.468,6.643,9.316,3.094,0.713
0.4,1.523,1.38,6.144,8.996,3.045,0.683
0.4,1.513,1.438,6.482,9.193,3.057,0.705
0.4,1.53,1.375,6.186,9.021,3.027,0.686
0.4,1.541,1.389,6.43,9.154,3.051,0.702
0.4,1.523,1.485,6.692,9.338,3.084,0.717
0.4,1.454,1.424,5.995,8.94,2.969,0.671
0.4,1.527,1.443,6.274,9.11,3.011,0.689
0.4,1.505,1.477,6.515,9.212,3.024,0.707
0.4,1.511,1.413,6.219,9.024,2.968,0.689
0.4,1.502,1.4,6.246,9.038,2.982,0.691
0.4,1.524,1.462,6.59,9.276,3.048,0.71
0.4,1.502,1.427,6.297,9.116,3.082,0.691
0.4,1.504,1.439,6.121,9.031,3.019,0.678
0.4,1.536,1.448,6.496,9.258,3.079,0.702
0.4,1.51,1.416,6.253,9.101,3.075,0.687
0.4,1.555,1.381,6.233,9.077,3.076,0.687
0.4,1.483,1.379,5.757,8.806,3.002,0.654
0.4,1.525,1.403,6.188,9.066,3.019,0.683
0.4,1.481,1.394,6.034,8.926,3.068,0.676
0.4,1.544,1.373,6.355,9.106,3.098,0.698
0.4,1.521,1.436,6.239,9.123,3.053,0.684
0.4,1.433,1.378,5.683,8.728,2.967,0.651
0.4,1.485,1.455,6.329,9.104,3.061,0.695
0.4,1.449,1.403,5.969,8.863,2.934,0.673
0.4,1.511,1.403,6.3,9.085,3.05,0.693
0.4,1.527,1.446,6.532,9.242,3.063,0.707
0.4,1.503,1.459,6.495,9.208,3.081,0.705
0.4,1.467,1.41,6.155,9.029,3.038,0.682
0.4,1.487,1.46,6.445,9.222,3.047,0.699
0.4,1.497,1.465,6.287,9.138,3.032,0.688
0.4,1.544,1.32,5.896,8.92,3.015,0.661
0.4,1.574,1.335,6.126,8.996,3.039,0.681
0.4,1.543,1.415,6.335,9.131,3.071,0.694
0.4,1.45,1.41,5.988,8.908,2.948,0.672
0.4,1.511,1.447,6.435,9.179,3.055,0.701
0.4,1.508,1.437,6.204,9.122,3.055,0.68
0.4,1.514,1.475,6.437,9.209,3.044,0.699
0.4,1.487,1.442,6.2,9.055,3.045,0.685
0.4,1.515,1.395,6.259,9.067,3.047,0.69
0.4,1.497,1.396,5.923,8.901,2.982,0.665
0.4,1.497,1.438,6.359,9.148,3.08,0.695
0.4,1.499,1.316,5.705,8.772,2.968,0.65
0.4,1.499,1.466,6.271,9.139,3.026,0.686
0.4,1.52,1.314,5.586,8.739,3.034,0.639
0.4,1.534,1.491,6.577,9.308,3.062,0.707
0.4,1.515,1.363,5.825,8.888,3.038,0.655
0.4,1.469,1.439,6.169,9.006,2.956,0.685
0.4,1.479,1.405,6.161,8.992,3.0,0.685
0.4,1.455,1.378,5.838,8.756,2.932,0.667
0.4,1.461,1.433,6.167,9.018,2.984,0.684
0.4,1.555,1.408,6.475,9.188,3.065,0.705
0.4,1.554,1.464,6.581,9.309,3.081,0.707
0.4,1.492,1.445,6.403,9.193,3.043,0.697
0.4,1.485,1.337,5.714,8.721,2.978,0.655
0.4,1.482,1.388,5.935,8.902,3.01,0.667
0.4,1.48,1.446,6.267,9.053,2.958,0.692
0.4,1.48,1.436,6.086,9.042,3.036,0.673
0.4,1.487,1.478,6.47,9.212,3.012,0.702
0.4,1.463,1.428,6.14,9.067,2.999,0.677
0.4,1.497,1.453,6.168,9.058,3.008,0.681
0.4,1.505,1.375,6.167,8.97,3.022,0.687
0.4,1.507,1.375,5.747,8.828,2.966,0.651
0.4,1.483,1.294,5.642,8.621,2.958,0.654
0.4,1.496,1.432,6.037,8.992,2.981,0.671
0.4,1.487,1.345,5.851,8.805,2.967,0.665
0.4,1.498,1.419,6.298,9.062,2.98,0.695
0.4,1.509,1.462,6.367,9.161,3.018,0.695
0.4,1.507,1.388,5.878,8.905,2.946,0.66
0.4,1.464,1.289,5.355,8.476,2.871,0.632
0.4,1.533,1.458,6.657,9.31,3.078,0.715
0.4,1.479,1.425,6.11,9.008,3.011,0.678
0.4,1.502,1.41,6.084,8.987,3.024,0.677
0.4,1.504,1.355,5.948,8.859,2.994,0.671
0.4,1.519,1.447,6.488,9.219,3.056,0.704
0.4,1.484,1.41,6.183,8.979,2.958,0.689
0.4,1.48,1.384,5.835,8.798,2.929,0.663
0.4,1.482,1.401,6.027,8.936,2.953,0.674
0.4,1.497,1.453,6.281,9.143,3.003,0.687
0.4,1.501,1.402,6.118,9.032,3.044,0.677
0.4,1.518,1.358,6.023,8.926,3.028,0.675
0.4,1.546,1.446,6.257,9.176,3.074,0.682
0.4,1.532,1.44,6.344,9.184,3.065,0.691
0.4,1.535,1.456,6.584,9.269,3.044,0.71
0.4,1.532,1.37,6.139,9.012,3.068,0.681
0.4,1.499,1.396,6.036,8.973,3.019,0.673
0.4,1.519,1.478,6.335,9.197,3.079,0.689
0.4,1.554,1.44,6.23,9.119,3.065,0.683
0.4,1.527,1.413,5.953,8.98,3.051,0.663
0.4,1.524,1.388,5.972,8.932,3.052,0.669
0.4,1.491,1.393,6.114,8.947,2.994,0.683
0.4,1.539,1.318,5.765,8.79,2.973,0.656
