true_angle,semi_major_axis,semi_minor_axis,convex_hull_area,convex_hull_perimeter,max_distance,area_to_perimeter_ratio
0.5,0.898,0.87,2.343,5.498,1.797,0.426
0.5,0.878,0.844,2.237,5.394,1.778,0.415
0.5,0.89,0.885,2.383,5.542,1.807,0.43
0.5,0.898,0.848,2.278,5.434,1.785,0.419
0.5,0.875,0.864,2.305,5.458,1.799,0.422
0.5,0.891,0.866,2.294,5.461,1.783,0.42
0.5,0.879,0.871,2.326,5.478,1.787,0.425
0.5,0.883,0.864,2.295,5.454,1.809,0.421
0.5,0.884,0.873,2.352,5.501,1.791,0.428
0.5,0.884,0.854,2.26,5.413,1.785,0.418
0.5,0.891,0.859,2.269,5.439,1.791,0.417
0.5,0.904,0.855,2.325,5.491,1.793,0.423
0.5,0.887,0.861,2.314,5.466,1.792,0.423
0.5,0.896,0.847,2.272,5.429,1.79,0.418
0.5,0.884,0.858,2.319,5.453,1.778,0.425
0.5,0.901,0.885,2.38,5.547,1.803,0.429
0.5,0.898,0.859,2.347,5.496,1.802,0.427
0.5,0.871,0.858,2.219,5.381,1.773,0.412
0.5,0.881,0.853,2.283,5.439,1.792,0.42
0.5,0.909,0.872,2.393,5.544,1.808,0.432
0.5,0.876,0.862,2.267,5.432,1.777,0.417
0.5,0.882,0.855,2.238,5.399,1.775,0.415
0.5,0.868,0.864,2.212,5.403,1.771,0.409
0.5,0.872,0.858,2.244,5.393,1.792,0.416
0.5,0.876,0.843,2.201,5.361,1.773,0.411
0.5,0.891,0.881,2.359,5.52,1.781,0.427
0.5,0.905,0.834,2.242,5.408,1.794,0.415
0.5,0.901,0.865,2.337,5.502,1.804,0.425
0.5,0.887,0.848,2.262,5.407,1.775,0.418
0.5,0.896,0.876,2.313,5.489,1.802,0.421
0.5,0.896,0.859,2.311,5.475,1.793,0.422
0.5,0.901,0.873,2.379,5.529,1.801,0.43
0.5,0.903,0.837,2.249,5.402,1.795,0.416
0.5,0.876,0.847,2.204,5.379,1.75,0.41
0.5,0.894,0.888,2.294,5.491,1.786,0.418
0.5,0.885,0.858,2.284,5.433,1.77,0.42
0.5,0.883,0.847,2.253,5.419,1.794,0.416
0.5,0.889,0.858,2.298,5.452,1.791,0.421
0.5,0.902,0.832,2.192,5.364,1.806,0.409
0.5,0.89,0.873,2.31,5.478,1.81,0.422
0.5,0.902,0.874,2.374,5.54,1.813,0.429
0.5,0.897,0.866,2.34,5.491,1.802,0.426
0.5,0.891,0.863,2.331,5.471,1.783,0.426
0.5,0.882,0.865,2.322,5.462,1.773,0.425
0.5,0.89,0.858,2.307,5.465,1.793,0.422
0.5,0.894,0.872,2.335,5.489,1.781,0.425
0.5,0.889,0.881,2.359,5.522,1.794,0.427
0.5,0.891,0.883,2.389,5.542,1.802,0.431
0.5,0.883,0.875,2.333,5.487,1.802,0.425
0.5,0.894,0.877,2.364,5.517,1.803,0.428
0.2,0.895,0.863,2.339,5.507,1.791,0.425
0.2,0.881,0.863,2.268,5.465,1.798,0.415
0.2,0.902,0.848,2.262,5.43,1.799,0.417
0.2,0.891,0.882,2.34,5.512,1.795,0.425
0.2,0.9,0.862,2.351,5.501,1.796,0.427
0.2,0.879,0.859,2.302,5.45,1.804,0.422
0.2,0.888,0.835,2.184,5.35,1.761,0.408
0.2,0.888,0.883,2.368,5.54,1.794,0.428
0.2,0.893,0.871,2.328,5.49,1.798,0.424
0.2,0.893,0.877,2.356,5.51,1.795,0.428
0.2,0.896,0.873,2.315,5.494,1.802,0.421
0.2,0.889,0.873,2.262,5.438,1.768,0.416
0.2,0.868,0.861,2.258,5.391,1.761,0.419
0.2,0.889,0.881,2.33,5.496,1.793,0.424
0.2,0.875,0.87,2.293,5.436,1.787,0.422
0.2,0.879,0.845,2.205,5.353,1.757,0.412
0.2,0.887,0.867,2.334,5.48,1.79,0.426
0.2,0.884,0.86,2.293,5.448,1.795,0.421
0.2,0.886,0.858,2.27,5.43,1.768,0.418
0.2,0.893,0.867,2.353,5.502,1.789,0.428
0.2,0.887,0.854,2.251,5.427,1.785,0.415
0.2,0.912,0.822,2.23,5.407,1.794,0.412
0.2,0.875,0.872,2.25,5.414,1.782,0.416
0.2,0.899,0.874,2.378,5.526,1.806,0.43
0.2,0.882,0.858,2.251,5.421,1.791,0.415
0.2,0.867,0.863,2.247,5.387,1.748,0.417
0.2,0.898,0.836,2.197,5.394,1.77,0.407
0.2,0.854,0.842,2.158,5.295,1.733,0.408
0.2,0.868,0.858,2.279,5.411,1.761,0.421
0.2,0.894,0.853,2.328,5.479,1.791,0.425
0.2,0.892,0.84,2.229,5.393,1.771,0.413
0.2,0.896,0.852,2.298,5.449,1.777,0.422
0.2,0.886,0.841,2.258,5.401,1.763,0.418
0.2,0.882,0.872,2.31,5.491,1.812,0.421
0.2,0.876,0.864,2.288,5.436,1.781,0.421
0.2,0.892,0.847,2.277,5.425,1.796,0.42
0.2,0.902,0.848,2.32,5.467,1.779,0.424
0.2,0.891,0.859,2.289,5.465,1.787,0.419
0.2,0.894,0.878,2.393,5.541,1.789,0.432
0.2,0.887,0.872,2.326,5.476,1.786,0.425
0.2,0.897,0.873,2.362,5.518,1.806,0.428
0.2,0.905,0.844,2.278,5.444,1.794,0.418
0.2,0.889,0.867,2.319,5.474,1.792,0.424
0.2,0.885,0.869,2.318,5.468,1.793,0.424
0.2,0.887,0.866,2.323,5.469,1.774,0.425
0.2,0.893,0.876,2.326,5.492,1.784,0.424
0.2,0.899,0.866,2.343,5.497,1.81,0.426
0.2,0.895,0.878,2.374,5.535,1.799,0.429
0.2,0.891,0.862,2.308,5.465,1.779,0.422
0.2,0.889,0.854,2.29,5.436,1.768,0.421
1.1,0.888,0.857,2.277,5.438,1.802,0.419
1.1,0.902,0.866,2.4,5.536,1.803,0.434
1.1,0.89,0.863,2.32,5.468,1.796,0.424
1.1,0.88,0.846,2.263,5.422,1.802,0.417
1.1,0.9,0.855,2.302,5.471,1.805,0.421
1.1,0.882,0.869,2.31,5.461,1.783,0.423
1.1,0.887,0.883,2.354,5.515,1.791,0.427
1.1,0.886,0.874,2.37,5.512,1.79,0.43
1.1,0.9,0.861,2.352,5.496,1.808,0.428
1.1,0.882,0.857,2.3,5.447,1.776,0.422
1.1,0.897,0.862,2.322,5.484,1.805,0.423
1.1,0.889,0.878,2.376,5.519,1.783,0.431
1.1,0.897,0.867,2.364,5.522,1.807,0.428
1.1,0.894,0.878,2.357,5.522,1.808,0.427
1.1,0.881,0.85,2.289,5.435,1.79,0.421
1.1,0.898,0.856,2.317,5.465,1.806,0.424
1.1,0.91,0.868,2.347,5.522,1.812,0.425
1.1,0.892,0.867,2.301,5.468,1.792,0.421
1.1,0.904,0.869,2.388,5.537,1.807,0.431
1.1,0.878,0.875,2.276,5.45,1.794,0.418
1.1,0.894,0.88,2.425,5.56,1.8,0.436
1.1,0.878,0.871,2.318,5.455,1.756,0.425
1.1,0.899,0.875,2.368,5.525,1.795,0.429
1.1,0.896,0.875,2.369,5.518,1.791,0.429
1.1,0.901,0.87,2.274,5.458,1.791,0.417
1.1,0.89,0.875,2.346,5.49,1.776,0.427
1.1,0.904,0.872,2.354,5.524,1.798,0.426
1.1,0.891,0.864,2.31,5.459,1.784,0.423
1.1,0.883,0.87,2.31,5.464,1.802,0.423
1.1,0.884,0.858,2.277,5.442,1.806,0.418
1.1,0.883,0.873,2.336,5.482,1.776,0.426
1.1,0.89,0.848,2.262,5.425,1.802,0.417
1.1,0.88,0.843,2.237,5.388,1.787,0.415
1.1,0.888,0.856,2.292,5.437,1.786,0.422
1.1,0.878,0.871,2.24,5.433,1.79,0.412
1.1,0.896,0.87,2.396,5.55,1.797,0.432
1.1,0.893,0.869,2.349,5.508,1.798,0.426
1.1,0.884,0.873,2.314,5.477,1.791,0.422
1.1,0.884,0.869,2.283,5.442,1.792,0.419
1.1,0.879,0.871,2.278,5.453,1.771,0.418
1.1,0.883,0.873,2.336,5.478,1.781,0.426
1.1,0.9,0.856,2.346,5.504,1.788,0.426
1.1,0.895,0.861,2.356,5.497,1.797,0.429
1.1,0.902,0.851,2.298,5.445,1.807,0.422
1.1,0.902,0.869,2.323,5.493,1.807,0.423
1.1,0.897,0.889,2.412,5.564,1.795,0.433
1.1,0.893,0.845,2.291,5.432,1.8,0.422
1.1,0.883,0.867,2.325,5.459,1.793,0.426
1.1,0.892,0.852,2.304,5.445,1.781,0.423
1.1,0.888,0.857,2.31,5.457,1.792,0.423
0.3,0.91,0.859,2.312,5.493,1.808,0.421
0.3,0.882,0.876,2.307,5.477,1.804,0.421
0.3,0.895,0.872,2.363,5.52,1.804,0.428
0.3,0.864,0.843,2.146,5.312,1.757,0.404
0.3,0.896,0.874,2.367,5.513,1.792,0.429
0.3,0.888,0.85,2.254,5.422,1.795,0.416
0.3,0.899,0.872,2.378,5.542,1.804,0.429
0.3,0.888,0.816,2.178,5.31,1.763,0.41
0.3,0.892,0.859,2.316,5.468,1.784,0.424
0.3,0.9,0.863,2.341,5.496,1.803,0.426
0.3,0.885,0.874,2.339,5.492,1.804,0.426
0.3,0.915,0.823,2.241,5.395,1.795,0.415
0.3,0.896,0.869,2.373,5.519,1.802,0.43
0.3,0.891,0.864,2.295,5.462,1.774,0.42
0.3,0.883,0.842,2.257,5.386,1.787,0.419
0.3,0.884,0.855,2.261,5.415,1.81,0.417
0.3,0.893,0.862,2.318,5.465,1.79,0.424
0.3,0.892,0.865,2.35,5.494,1.81,0.428
0.3,0.902,0.855,2.335,5.489,1.815,0.425
0.3,0.894,0.87,2.376,5.51,1.811,0.431
0.3,0.887,0.856,2.319,5.468,1.78,0.424
0.3,0.895,0.874,2.332,5.503,1.8,0.424
0.3,0.897,0.852,2.327,5.473,1.794,0.425
0.3,0.892,0.866,2.283,5.455,1.781,0.419
0.3,0.897,0.878,2.383,5.54,1.81,0.43
0.3,0.887,0.877,2.368,5.511,1.802,0.43
