true_angle,semi_major_axis,semi_minor_axis,convex_hull_area,convex_hull_perimeter,max_distance,area_to_perimeter_ratio
0.0,0.895,0.743,1.884,5.021,1.754,0.375
0.0,0.881,0.858,2.157,5.34,1.776,0.404
0.0,0.855,0.797,1.936,5.106,1.742,0.379
0.0,0.863,0.847,2.083,5.289,1.749,0.394
0.0,0.91,0.774,2.04,5.217,1.782,0.391
0.0,0.9,0.762,1.784,4.989,1.756,0.357
0.0,0.842,0.715,1.722,4.844,1.743,0.356
0.0,0.884,0.829,1.969,5.198,1.767,0.379
0.0,0.867,0.77,1.894,5.067,1.748,0.374
0.0,0.879,0.738,1.862,5.005,1.77,0.372
0.0,0.822,0.799,1.864,4.994,1.634,0.373
0.0,0.868,0.785,1.882,5.078,1.744,0.371
0.0,0.845,0.814,1.994,5.141,1.722,0.388
0.0,0.889,0.805,2.062,5.237,1.745,0.394
0.0,0.889,0.781,1.99,5.196,1.793,0.383
0.0,0.877,0.726,1.753,4.919,1.725,0.356
0.0,0.867,0.775,1.948,5.08,1.72,0.383
0.0,0.863,0.836,2.065,5.242,1.761,0.394
0.0,0.872,0.803,1.984,5.159,1.769,0.385
0.0,0.843,0.762,1.738,4.886,1.671,0.356
0.0,0.912,0.753,1.937,5.095,1.773,0.38
0.0,0.869,0.731,1.716,4.877,1.772,0.352
0.0,0.86,0.777,1.926,5.049,1.723,0.381
0.0,0.859,0.807,1.949,5.121,1.77,0.381
0.0,0.859,0.808,2.002,5.158,1.749,0.388
0.0,0.898,0.846,2.161,5.359,1.771,0.403
0.0,0.886,0.805,1.959,5.157,1.783,0.38
0.0,0.855,0.808,1.901,5.079,1.698,0.374
0.0,0.888,0.839,2.061,5.282,1.77,0.39
0.0,0.86,0.802,1.957,5.146,1.705,0.38
0.0,0.862,0.8,1.98,5.152,1.774,0.384
0.0,0.868,0.786,1.929,5.111,1.735,0.377
0.0,0.866,0.784,1.958,5.097,1.728,0.384
0.0,0.843,0.759,1.854,5.004,1.726,0.371
0.0,0.829,0.803,1.875,5.046,1.682,0.372
0.0,0.874,0.837,1.979,5.2,1.766,0.381
0.0,0.91,0.716,1.777,4.949,1.743,0.359
0.0,0.883,0.761,1.866,5.013,1.721,0.372
0.0,0.859,0.799,1.905,5.097,1.708,0.374
0.0,0.856,0.777,1.884,5.044,1.745,0.373
0.0,0.909,0.784,1.962,5.158,1.75,0.38
0.0,0.857,0.818,1.99,5.175,1.735,0.384
0.0,0.865,0.858,2.147,5.361,1.773,0.4
0.0,0.869,0.797,1.965,5.123,1.712,0.384
0.0,0.88,0.813,1.865,5.122,1.779,0.364
0.0,0.861,0.774,1.922,5.045,1.702,0.381
0.0,0.879,0.829,2.056,5.246,1.736,0.392
0.0,0.848,0.792,1.945,5.112,1.737,0.381
0.0,0.9,0.826,2.188,5.357,1.787,0.408
0.0,0.908,0.74,1.947,5.135,1.762,0.379
0.1,0.849,0.802,1.924,5.117,1.704,0.376
0.1,0.844,0.708,1.729,4.815,1.647,0.359
0.1,0.903,0.681,1.503,4.661,1.639,0.323
0.1,0.889,0.808,1.66,4.944,1.686,0.336
0.1,0.873,0.775,1.853,5.045,1.723,0.367
0.1,0.844,0.799,1.806,5.011,1.712,0.36
0.1,0.872,0.846,2.172,5.329,1.765,0.408
0.1,0.911,0.766,1.841,5.062,1.786,0.364
0.1,0.88,0.85,1.912,5.18,1.743,0.369
0.1,0.854,0.816,1.85,5.037,1.671,0.367
0.1,0.863,0.808,1.813,5.048,1.741,0.359
0.1,0.862,0.809,1.895,5.079,1.747,0.373
0.1,0.861,0.782,1.893,5.057,1.735,0.374
0.1,0.871,0.784,1.995,5.15,1.766,0.387
0.1,0.911,0.805,2.116,5.287,1.801,0.4
0.1,0.846,0.777,1.844,5.035,1.695,0.366
0.1,0.872,0.726,1.819,5.008,1.757,0.363
0.1,0.892,0.863,1.976,5.243,1.785,0.377
0.1,0.912,0.734,1.909,5.118,1.775,0.373
0.1,0.884,0.841,2.039,5.266,1.776,0.387
0.1,0.872,0.825,2.108,5.286,1.781,0.399
0.1,0.831,0.73,1.721,4.812,1.648,0.358
