true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
0.5,-3.589,0.053,0.537,0.601,-0.129,-0.092,-0.67,-0.799,1.006,2.708,3.818,6.818
0.5,-3.417,-0.064,0.517,0.55,-0.301,0.158,-0.381,-0.083,0.936,2.577,3.945,6.624
0.5,-3.403,-0.039,0.566,0.529,-0.143,0.033,0.146,-0.063,0.953,2.655,4.686,7.653
0.5,-3.336,0.026,0.483,0.566,-0.086,0.075,0.485,-0.457,0.92,2.58,4.555,7.054
0.5,-3.538,0.039,0.575,0.609,0.18,0.059,-0.48,-0.58,1.048,2.597,4.607,7.297
0.6,-3.432,0.077,0.512,0.517,-0.382,0.148,-0.272,-0.343,0.906,2.307,3.681,6.216
0.6,-3.524,0.013,0.606,0.565,0.073,0.12,-0.506,-0.344,1.035,2.608,4.668,7.086
0.6,-3.476,-0.008,0.515,0.619,0.265,-0.132,-0.05,-0.524,0.997,2.642,4.394,7.189
0.6,-3.465,-0.055,0.492,0.561,-0.024,0.136,-0.092,-0.538,0.927,2.589,3.968,6.624
0.6,-3.403,-0.102,0.6,0.632,-0.036,0.174,-0.661,-0.834,1.096,2.564,4.572,7.55
0.6,-3.402,0.048,0.501,0.492,-0.18,0.266,-0.118,0.014,0.866,2.547,4.278,6.672
0.6,-3.449,0.176,0.586,0.621,-0.007,0.006,-0.484,-0.905,1.057,2.709,4.183,6.176
0.6,-3.468,0.048,0.536,0.528,-0.173,-0.085,-0.345,-0.079,0.933,2.516,4.147,7.113
0.6,-3.496,0.085,0.596,0.511,0.008,0.016,-0.708,-0.547,0.98,2.614,4.454,7.608
0.6,-3.402,-0.003,0.577,0.55,0.136,0.037,-0.502,-0.242,0.993,2.515,4.208,6.682
0.7,-3.423,0.058,0.586,0.557,-0.056,-0.212,-0.528,-0.186,1.012,2.604,4.195,7.075
0.7,-3.426,0.029,0.524,0.484,0.341,0.097,0.326,0.165,0.865,2.579,4.108,6.958
0.7,-3.421,0.105,0.602,0.49,0.184,0.021,-0.395,-0.866,0.963,2.577,3.861,5.914
0.7,-3.479,0.072,0.565,0.545,0.074,-0.079,-0.34,-0.371,0.973,2.652,4.639,7.184
0.7,-3.463,0.036,0.557,0.575,0.154,-0.42,-0.381,-0.001,0.99,2.662,4.163,6.448
0.7,-3.353,0.093,0.573,0.611,-0.138,-0.197,-0.485,-0.404,1.045,2.633,4.659,7.326
0.7,-3.436,0.009,0.602,0.576,-0.062,0.09,-0.38,-0.418,1.036,2.686,4.876,6.684
0.7,-3.419,-0.009,0.554,0.5,0.123,0.177,-0.39,0.082,0.92,2.595,4.247,6.611
0.7,-3.431,-0.102,0.518,0.645,0.023,0.109,-0.564,-0.594,1.033,2.667,4.124,7.035
0.7,-3.467,-0.03,0.526,0.552,-0.142,0.123,-0.257,-0.132,0.941,2.63,4.021,6.183
0.8,-3.417,0.044,0.57,0.558,-0.144,-0.153,-0.649,-0.36,0.996,2.652,4.753,7.484
0.8,-3.55,0.032,0.596,0.601,0.039,-0.224,-0.312,-0.336,1.045,2.655,4.999,7.485
0.8,-3.457,-0.011,0.594,0.587,0.113,-0.088,-0.56,-0.4,1.043,2.558,4.565,6.968
0.8,-3.484,0.092,0.58,0.528,0.231,-0.207,-0.418,0.11,0.972,2.595,4.582,7.087
0.8,-3.405,0.082,0.495,0.462,-0.326,-0.082,0.025,-0.195,0.835,2.427,3.16,6.094
0.8,-3.418,-0.009,0.526,0.546,-0.177,-0.02,-0.136,-0.24,0.932,2.625,4.167,6.724
0.8,-3.453,0.042,0.519,0.568,-0.581,-0.467,0.182,-0.299,0.946,2.631,4.326,6.724
0.8,-3.474,-0.151,0.515,0.567,-0.099,-0.034,-0.26,-0.303,0.955,2.687,4.181,6.927
0.8,-3.393,-0.087,0.547,0.547,-0.131,0.033,-0.193,-0.073,0.959,2.597,4.546,7.511
0.8,-3.377,-0.042,0.57,0.562,-0.235,-0.342,-0.378,-0.582,0.991,2.619,4.389,7.333
0.9,-3.408,0.03,0.658,0.536,0.005,0.392,-0.638,-0.261,1.054,2.675,4.437,7.641
0.9,-3.405,0.002,0.492,0.511,0.078,-0.375,-0.165,0.872,0.861,2.529,3.64,7.111
0.9,-3.461,-0.04,0.524,0.498,0.16,0.154,0.381,0.52,0.887,2.703,4.519,7.665
0.9,-3.483,-0.041,0.587,0.566,0.123,0.019,-0.492,-0.394,1.014,2.528,4.294,6.952
0.9,-3.367,0.023,0.581,0.497,0.107,-0.092,-0.422,-0.317,0.954,2.664,4.476,6.999
0.9,-3.414,-0.026,0.587,0.499,0.198,0.186,-0.454,-0.538,0.959,2.522,3.984,5.973
0.9,-3.484,0.06,0.492,0.538,-0.018,-0.098,-0.308,0.503,0.897,2.619,4.18,6.324
0.9,-3.492,0.072,0.502,0.578,0.151,-0.059,-0.067,-0.265,0.939,2.674,4.517,6.992
0.9,-3.406,-0.066,0.551,0.54,-0.153,0.081,-0.537,-0.467,0.96,2.633,4.404,7.302
0.9,-3.477,0.02,0.62,0.54,0.056,-0.045,-0.652,-0.429,1.024,2.579,4.343,6.393
1.0,-3.392,-0.026,0.514,0.603,0.251,-0.145,-0.008,-0.449,0.982,2.626,4.44,7.419
1.0,-3.483,-0.075,0.63,0.511,0.08,-0.109,-0.353,0.045,1.011,2.642,4.434,7.007
1.0,-3.318,-0.042,0.556,0.622,-0.131,0.101,-0.333,-0.589,1.042,2.635,4.489,6.577
1.0,-3.376,0.048,0.549,0.558,0.069,0.033,-0.713,-0.299,0.978,2.601,4.258,7.304
1.0,-3.446,-0.028,0.577,0.607,-0.064,0.504,-0.703,-0.814,1.049,2.491,3.757,7.244
1.0,-3.413,-0.055,0.53,0.598,0.119,0.077,0.073,0.093,0.984,2.684,4.802,7.48
1.0,-3.357,0.013,0.535,0.526,-0.213,-0.027,-0.021,-0.011,0.918,2.595,4.323,6.479
1.0,-3.403,0.039,0.492,0.502,0.119,0.37,-0.409,0.302,0.857,2.626,3.743,6.972
1.0,-3.428,-0.059,0.56,0.478,-0.121,0.125,-0.245,0.298,0.906,2.57,4.141,7.028
1.0,-3.461,0.035,0.576,0.558,0.198,0.022,-0.608,-0.533,1.005,2.569,4.274,6.741
